Title:,River Water Quality: 1990 to 2006,,,,,,,,,,,,,,,,,,,,,
North West,159,Ellesmere Port & Neston,2006,chemistry,0,0.3,0,6.9,3.6,1.2,12,0,2.5,0,57.5,30.3,9.7,2.5,57.5,30.3,9.7,
North West,159,Ellesmere Port & Neston,2006,nitrate,0,0,7.8,0.3,1.9,1.9,12,0,0,65.6,2.6,15.7,16.1,,,,,31.8
North West,159,Ellesmere Port & Neston,2006,phosphate,0,0,0,0,11.2,0.8,12,0,0,0,0,93.6,6.4,,,,,100
North West,160,Fylde,1990,biology,0,0,0,0,0,4.7,4.7,0,0,0,0,0,100,0,0,0,100,
North West,160,Fylde,1990,phosphate,1.2,4.3,0,0,7.3,2.1,15,8.1,28.8,0,0,49.1,14,,,,,63.1
North West,160,Fylde,1990,chemistry,0,0,0,0,7.3,8.5,15.7,0,0,0,0,46.1,53.9,0,0,46.1,53.9,
North West,160,Fylde,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,160,Fylde,1993,chemistry,0,0,0,0,33.9,0,33.9,0,0,0,0,100,0,0,0,100,0,
North West,160,Fylde,1994,chemistry,0,0,0,1.2,32.7,0,33.9,0,0,0,3.6,96.4,0,0,3.6,96.4,0,
North West,160,Fylde,1995,biology,0,0,9.7,3.7,10.9,0,24.3,0,0,39.9,15.3,44.9,0,0,55.1,44.9,0,
North West,160,Fylde,1995,chemistry,0,0,0,1.2,29.8,2.9,33.9,0,0,0,3.6,87.9,8.5,0,3.6,87.9,8.5,
North West,160,Fylde,1995,nitrate,5.5,0,22.6,5.8,0,0,33.9,16.3,0,66.5,17.2,0,0,,,,,0
North West,160,Fylde,1995,phosphate,0,4.3,1.2,2.4,26,0,33.9,0,12.7,3.6,7,76.7,0,,,,,83.7
North West,160,Fylde,1996,chemistry,0,0,0,7.7,23.4,2.9,33.9,0,0,0,22.7,68.8,8.5,0,22.7,68.8,8.5,
North West,160,Fylde,1997,chemistry,0,0,1.2,4.4,25.4,2.9,33.9,0,0,3.6,12.9,75,8.5,0,16.5,75,8.5,
North West,160,Fylde,1998,chemistry,0,0,2.4,10.2,21.3,0,33.9,0,0,7.1,30.1,62.8,0,0,37.2,62.8,0,
North West,160,Fylde,1999,chemistry,0,0,1.2,8.2,24.5,0,33.9,0,0,3.4,24.3,72.3,0,0,27.7,72.3,0,
North West,160,Fylde,2000,phosphate,0,0,5.5,2.4,26,0,33.9,0,0,16.3,7,76.7,0,,,,,83.7
North West,160,Fylde,2000,nitrate,0,7.9,21.1,5,0,0,33.9,0,23.3,62,14.6,0,0,,,,,0
North West,160,Fylde,2000,biology,0,0,6.8,10.7,9.7,0,27.2,0,0,25,39.3,35.7,0,0,64.3,35.7,0,
North West,160,Fylde,2000,chemistry,0,0,1.2,11.8,21,0,33.9,0,0,3.4,34.7,61.9,0,0,38.1,61.9,0,
North West,160,Fylde,2001,chemistry,0,0,0,16.4,17.5,0,33.9,0,0,0,48.3,51.7,0,0,48.3,51.7,0,
North West,160,Fylde,2001,nitrate,0,7.9,21.1,5,0,0,33.9,0,23.3,62,14.6,0,0,,,,,0
North West,160,Fylde,2001,phosphate,0,4.3,1.2,2.4,26,0,33.9,0,12.7,3.6,7,76.7,0,,,,,83.7
North West,160,Fylde,2002,biology,0,0,5.6,5.3,9.7,0,20.7,0,0,27,25.9,47.1,0,0,52.9,47.1,0,
North West,160,Fylde,2002,chemistry,0,0,1.2,8.7,24,0,33.9,0,0,3.5,25.6,70.8,0,0,29.2,70.8,0,
North West,160,Fylde,2002,nitrate,0,7.9,23.9,2.1,0,0,33.9,0,23.3,70.5,6.2,0,0,,,,,0
North West,160,Fylde,2002,phosphate,0,5.5,0,2.4,26,0,33.9,0,16.3,0,7,76.7,0,,,,,83.7
North West,160,Fylde,2003,phosphate,0,5.5,0,2.4,26,0,33.9,0,16.3,0,7,76.7,0,,,,,83.7
North West,160,Fylde,2003,biology,0,0,5.6,5.3,9.7,0,20.7,0,0,27,25.9,47.1,0,0,52.9,47.1,0,
North West,160,Fylde,2003,chemistry,0,0,3,11.5,19.5,0,33.9,0,0,8.7,33.9,57.4,0,0,42.6,57.4,0,
North West,160,Fylde,2003,nitrate,1.2,6.7,18.1,7.9,0,0,33.9,3.6,19.7,53.3,23.4,0,0,,,,,0
North West,160,Fylde,2004,phosphate,0,4.3,0,1.2,28.4,0,33.9,0,12.7,0,3.6,83.7,0,,,,,87.3
North West,160,Fylde,2004,nitrate,0,7.9,18.1,7.9,0,0,33.9,0,23.3,53.3,23.4,0,0,,,,,0
North West,160,Fylde,2004,biology,0,0,5.6,5.3,9.7,0,20.7,0,0,27,25.9,47.1,0,0,52.9,47.1,0,
North West,160,Fylde,2004,chemistry,0,0,2.3,14.9,16.7,0,33.9,0,0,6.9,44,49.1,0,0,50.9,49.1,0,
North West,160,Fylde,2005,biology,0,0,6.8,4.1,9.7,0,20.7,0,0,32.9,20,47.1,0,0,52.9,47.1,0,
North West,160,Fylde,2005,chemistry,0,0,7.1,20.7,6.1,0,33.9,0,0,21,61.1,17.9,0,0,82.1,17.9,0,
North West,160,Fylde,2005,nitrate,0,7.9,18.1,7.9,0,0,33.9,0,23.3,53.3,23.4,0,0,,,,,0
North West,160,Fylde,2005,phosphate,0,4.3,0,7.3,22.3,0,33.9,0,12.7,0,21.5,65.8,0,,,,,87.3
North West,160,Fylde,2006,biology,0,0,6.8,3,10.9,0,20.7,0,0,32.9,14.4,52.7,0,0,47.3,52.7,0,
North West,160,Fylde,2006,chemistry,0,0,1.2,26.7,6.1,0,33.9,0,0,3.5,78.6,17.9,0,0,82.1,17.9,0,
North West,160,Fylde,2006,nitrate,0,3.6,25.4,2.9,2.1,0,33.9,0,10.6,74.7,8.5,6.2,0,,,,,6.2
North West,160,Fylde,2006,phosphate,0,4.3,0,8,21.6,0,33.9,0,12.7,0,23.6,63.7,0,,,,,87.3
North West,161,Halton,1990,biology,0,0,0,0,0,3.8,3.8,0,0,0,0,0,100,0,0,0,100,
North West,161,Halton,1990,phosphate,0,0,15.1,1.7,0,0,16.8,0,0,89.7,10.3,0,0,,,,,10.3
North West,161,Halton,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,161,Halton,1990,chemistry,0,0,0,1.7,11.8,3.2,16.8,0,0,0,10.3,70.6,19.2,0,10.3,70.6,19.2,
North West,161,Halton,1993,chemistry,0,0,3.8,13.6,5.5,1.5,24.3,0,0,15.4,55.8,22.5,6.3,0,71.2,22.5,6.3,
North West,161,Halton,1994,chemistry,0,0,0,17.3,9.6,2.3,29.2,0,0,0,59.2,32.8,8,0,59.2,32.8,8,
North West,161,Halton,1995,biology,0,0,0,1.5,6,1.7,9.2,0,0,0,16.6,65.2,18.2,0,16.6,65.2,18.2,
North West,161,Halton,1995,chemistry,0,0,0,20.6,6.3,2.3,29.2,0,0,0,70.3,21.7,8,0,70.3,21.7,8,
North West,161,Halton,1995,nitrate,5.9,12.4,7,0,0,4.1,29.2,20,42.3,23.8,0,0,13.9,,,,,13.9
North West,161,Halton,1995,phosphate,0,0,4.3,4.1,20,0.8,29.2,0,0,14.8,14,68.5,2.8,,,,,85.2
North West,161,Halton,1996,chemistry,0,0,0,9.8,15.4,4.1,29.2,0,0,0,33.5,52.6,13.9,0,33.5,52.6,13.9,
North West,161,Halton,1997,chemistry,0,0,7,1.7,14.1,6.4,29.2,0,0,23.8,5.9,48.2,22,0,29.7,48.2,22,
North West,161,Halton,1998,chemistry,0,3.2,3.8,15.8,1.5,4.9,29.2,0,11,12.8,54.1,5.2,16.8,11,67,5.2,16.8,
North West,161,Halton,1999,chemistry,0,3.2,6,13.6,5.6,0.9,29.2,0,11,20.6,46.4,19.1,3,11,67,19.1,3,
North West,161,Halton,2000,chemistry,0,3.2,17.9,1.7,6.4,0,29.2,0,11,61.1,5.9,22,0,11,67,22,0,
North West,161,Halton,2000,nitrate,1.5,0.9,22.8,0,0.8,3.2,29.2,5.2,3,78,0,2.8,11.1,,,,,13.9
North West,161,Halton,2000,biology,0,0,1.5,2.3,7,1.7,12.4,0,0,12.3,18.2,56,13.5,0,30.5,56,13.5,
North West,161,Halton,2000,phosphate,0,0,4.3,7.5,16.6,0.8,29.2,0,0,14.8,25.7,56.7,2.8,,,,,85.2
North West,161,Halton,2001,chemistry,0,7,2.3,14.4,3.2,2.3,29.2,0,23.8,7.7,49.4,11.1,8,23.8,57.1,11.1,8,
North West,161,Halton,2001,nitrate,2.4,0,22.8,0,0.8,3.2,29.2,8.2,0,78,0,2.8,11.1,,,,,13.9
North West,161,Halton,2001,phosphate,0,0,4.3,8.4,15.7,0.8,29.2,0,0,14.8,28.7,53.8,2.8,,,,,85.2
North West,161,Halton,2002,biology,0,0,1.5,2.3,7,0.9,11.6,0,0,13.2,19.4,60,7.4,0,32.6,60,7.4,
North West,161,Halton,2002,chemistry,0,3.2,3.8,16.7,3.2,2.3,29.2,0,11,12.8,57.1,11.1,8,11,69.9,11.1,8,
North West,161,Halton,2002,nitrate,2.4,1.7,21.1,0,0.8,3.2,29.2,8.2,5.9,72.1,0,2.8,11.1,,,,,13.9
North West,161,Halton,2002,phosphate,0,0,4.3,8.4,15.7,0.8,29.2,0,0,14.8,28.7,53.8,2.8,,,,,85.2
North West,161,Halton,2003,phosphate,0,0,4.3,8.4,15.7,0.8,29.2,0,0,14.8,28.7,53.8,2.8,,,,,85.2
North West,161,Halton,2003,biology,0,0,1.5,2.3,7,0.9,11.6,0,0,13.2,19.4,60,7.4,0,32.6,60,7.4,
North West,161,Halton,2003,chemistry,0,3.2,11.8,8.6,5.6,0,29.2,0,11,40.5,29.4,19.1,0,11,69.9,19.1,0,
North West,161,Halton,2003,nitrate,2.4,6.1,16.7,0,0.8,3.2,29.2,8.2,20.7,57.3,0,2.8,11.1,,,,,13.9
North West,161,Halton,2004,nitrate,1.5,5.2,18.5,0,0.8,3.2,29.2,5.2,17.8,63.1,0,2.8,11.1,,,,,13.9
North West,161,Halton,2004,phosphate,0,0,4.3,12.1,12,0.8,29.2,0,0,14.8,41.5,40.9,2.8,,,,,85.2
North West,161,Halton,2004,biology,0,0,1.5,0,9.2,0.9,11.6,0,0,13.2,0,79.4,7.4,0,13.2,79.4,7.4,
North West,161,Halton,2004,chemistry,0,3.2,5.2,12.5,6,2.3,29.2,0,11,17.8,42.7,20.6,8,11,60.4,20.6,8,
North West,161,Halton,2005,biology,0,0,1.5,0,9.2,0.9,11.6,0,0,13.2,0,79.4,7.4,0,13.2,79.4,7.4,
North West,161,Halton,2005,chemistry,0,3.2,12.7,5,6,2.3,29.2,0,11,43.5,17,20.6,8,11,60.4,20.6,8,
North West,161,Halton,2005,nitrate,2.4,4.3,18.5,0,0.8,3.2,29.2,8.2,14.8,63.1,0,2.8,11.1,,,,,13.9
North West,161,Halton,2005,phosphate,0,0,4.3,8.4,15.7,0.8,29.2,0,0,14.8,28.7,53.8,2.8,,,,,85.2
North West,161,Halton,2006,biology,0,0,0,1.5,9.2,0.9,11.6,0,0,0,13.2,79.4,7.4,0,13.2,79.4,7.4,
North West,161,Halton,2006,chemistry,0,3.2,5.2,10.8,7.7,2.3,29.2,0,11,17.8,36.8,26.4,8,11,54.5,26.4,8,
North West,161,Halton,2006,nitrate,2.4,4.3,18.5,0,0.8,3.2,29.2,8.2,14.8,63.1,0,2.8,11.1,,,,,13.9
North West,161,Halton,2006,phosphate,0,0,11.8,0.9,12.5,4.1,29.2,0,0,40.5,3,42.7,13.9,,,,,59.5
North West,162,Hyndburn,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,162,Hyndburn,1990,phosphate,3,16.8,13.1,0,0,1.9,34.8,8.7,48.2,37.5,0,0,5.5,,,,,5.5
North West,162,Hyndburn,1990,chemistry,0,0,13.9,13.4,7.5,0,34.8,0,0,40,38.5,21.5,0,0,78.5,21.5,0,
North West,162,Hyndburn,1990,biology,0,0,1.2,0,14.4,3.2,18.8,0,0,6.3,0,76.7,17,0,6.3,76.7,17,
North West,162,Hyndburn,1993,chemistry,0,1.5,12.2,16.4,5.1,0,35.2,0,4.3,34.6,46.6,14.5,0,4.3,81.2,14.5,0,
North West,162,Hyndburn,1994,chemistry,0,11.5,21.5,2.7,4.6,0,40.1,0,28.6,53.5,6.6,11.4,0,28.6,60.1,11.4,0,
North West,162,Hyndburn,1995,biology,0,1.2,16.2,4.1,4.7,0,26.2,0,4.5,61.8,15.7,18,0,4.5,77.5,18,0,
North West,162,Hyndburn,1995,chemistry,0,12.3,23.3,1.9,2.6,0,40.1,0,30.6,58.1,4.8,6.5,0,30.6,62.9,6.5,0,
North West,162,Hyndburn,1995,nitrate,31.8,4.8,1.6,1.9,0,0,40.1,79.2,11.9,4.1,4.8,0,0,,,,,0
North West,162,Hyndburn,1995,phosphate,0,21.1,12.4,2,1,3.6,40.1,0,52.7,31,5,2.5,8.9,,,,,16.3
North West,162,Hyndburn,1996,chemistry,0,16.6,16.8,3.8,2.9,0,40.1,0,41.3,41.9,9.5,7.3,0,41.3,51.4,7.3,0,
North West,162,Hyndburn,1997,chemistry,0,17.9,15.4,6.7,0,0,40.1,0,44.7,38.5,16.8,0,0,44.7,55.3,0,0,
North West,162,Hyndburn,1998,chemistry,0,17.9,17.7,4.5,0,0,40.1,0,44.7,44.2,11.1,0,0,44.7,55.3,0,0,
North West,162,Hyndburn,1999,chemistry,1.2,18,20.9,0,0,0,40.1,3,44.9,52.2,0,0,0,47.8,52.2,0,0,
North West,162,Hyndburn,2000,nitrate,13.9,20.5,3.8,1.9,0,0,40.1,34.6,51,9.5,4.8,0,0,,,,,0
North West,162,Hyndburn,2000,chemistry,0,19.2,19,1.9,0,0,40.1,0,47.8,47.4,4.8,0,0,47.8,52.2,0,0,
North West,162,Hyndburn,2000,biology,0,1.2,16.7,5.2,3.2,0,26.2,0,4.5,63.6,19.7,12.2,0,4.5,83.3,12.2,0,
North West,162,Hyndburn,2000,phosphate,0,10.9,17.2,7.5,1,3.6,40.1,0,27.1,42.8,18.7,2.5,8.9,,,,,30.1
North West,162,Hyndburn,2001,chemistry,0,12.6,25.6,1.9,0,0,40.1,0,31.3,63.9,4.8,0,0,31.3,68.7,0,0,
North West,162,Hyndburn,2001,nitrate,23,13.5,1.6,1.9,0,0,40.1,57.4,33.8,4.1,4.8,0,0,,,,,0
North West,162,Hyndburn,2001,phosphate,0,10.9,10.6,14.1,1,3.6,40.1,0,27.1,26.3,35.2,2.5,8.9,,,,,46.6
North West,162,Hyndburn,2002,biology,0,1.2,20.3,2.5,2.2,0,26.2,0,4.5,77.5,9.6,8.4,0,4.5,87.1,8.4,0,
North West,162,Hyndburn,2002,chemistry,1.5,12.9,11.3,14.4,0,0,40.1,3.7,32.2,28.1,36,0,0,35.9,64.1,0,0,
North West,162,Hyndburn,2002,nitrate,23.7,12.8,1.6,1.9,0,0,40.1,59.2,31.9,4.1,4.8,0,0,,,,,0
North West,162,Hyndburn,2002,phosphate,0,0,20.2,15.3,1,3.6,40.1,0,0,50.5,38.2,2.5,8.9,,,,,49.5
North West,162,Hyndburn,2003,phosphate,0,0,27,8.5,1,3.6,40.1,0,0,67.4,21.3,2.5,8.9,,,,,32.6
North West,162,Hyndburn,2003,biology,0,2.7,18.8,2.5,2.2,0,26.2,0,10.2,71.7,9.6,8.4,0,10.3,81.4,8.4,0,
North West,162,Hyndburn,2003,chemistry,7.8,11.4,18,1.9,1,0,40.1,19.5,28.4,44.9,4.8,2.5,0,47.8,49.7,2.5,0,
North West,162,Hyndburn,2003,nitrate,25.3,11.3,1.6,1.9,0,0,40.1,63,28.1,4.1,4.8,0,0,,,,,0
North West,162,Hyndburn,2004,phosphate,0,10.9,14,10.7,1,3.6,40.1,0,27.1,34.8,26.7,2.5,8.9,,,,,38.1
North West,162,Hyndburn,2004,nitrate,23.6,13,1.6,1.9,0,0,40.1,58.7,32.4,4.1,4.8,0,0,,,,,0
North West,162,Hyndburn,2004,biology,0,9.3,13.7,1,2.2,0,26.2,0,35.5,52.3,3.8,8.4,0,35.5,56.1,8.4,0,
North West,162,Hyndburn,2004,chemistry,1.5,18,5.2,15.4,0,0,40.1,3.7,45,12.8,38.4,0,0,48.7,51.3,0,0,
North West,162,Hyndburn,2005,biology,0,9.3,11.3,2.4,3.2,0,26.2,0,35.5,43.2,9.1,12.2,0,35.5,52.3,12.2,0,
North West,162,Hyndburn,2005,chemistry,1.5,18,8.7,11.9,0,0,40.1,3.7,45,21.7,29.6,0,0,48.7,51.3,0,0,
North West,162,Hyndburn,2005,nitrate,22.1,14.5,1.6,1.9,0,0,40.1,55,36.1,4.1,4.8,0,0,,,,,0
North West,162,Hyndburn,2005,phosphate,0,13.9,10,11.7,1,3.6,40.1,0,34.6,24.9,29.1,2.5,8.9,,,,,40.4
North West,162,Hyndburn,2006,biology,0,6.6,14,2.4,3.2,0,26.2,0,25.3,53.4,9.1,12.2,0,25.3,62.6,12.2,0,
North West,162,Hyndburn,2006,chemistry,1.5,18,9.7,10.9,0,0,40.1,3.7,45,24.2,27.1,0,0,48.7,51.3,0,0,
North West,162,Hyndburn,2006,nitrate,22.1,14.5,1.6,1.9,0,0,40.1,55,36.1,4.1,4.8,0,0,,,,,0
North West,162,Hyndburn,2006,phosphate,0,16.1,7.8,12.7,3.6,0,40.1,0,40.1,19.5,31.5,8.9,0,,,,,40.4
North West,163,Knowsley,1990,phosphate,0,0.1,0,1.7,8.3,4.3,14.4,0,0.8,0,11.7,57.9,29.6,,,,,99.2
North West,163,Knowsley,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,163,Knowsley,1990,chemistry,0,0,1.7,0.1,4.7,5.8,12.3,0,0,13.7,1,38,47.4,0,14.7,38,47.4,
North West,163,Knowsley,1990,biology,0,0,0,0,2,6.3,8.3,0,0,0,0,23.9,76.1,0,0,23.9,76.1,
North West,163,Knowsley,1993,chemistry,0,0,0,0,10,8.8,18.7,0,0,0,0,53.1,46.9,0,0,53.1,46.9,
North West,163,Knowsley,1994,chemistry,0,0,0,3.3,15.7,9.2,28.1,0,0,0,11.7,55.7,32.6,0,11.7,55.7,32.6,
North West,163,Knowsley,1995,biology,0,0,0,0,14.9,9.5,24.4,0,0,0,0,61,39,0,0,61,39,
North West,163,Knowsley,1995,chemistry,0,0,0,0,24.8,3.4,28.1,0,0,0,0,88,12,0,0,88,12,
North West,163,Knowsley,1995,nitrate,0,8.6,10.2,2.6,1.7,5.1,28.1,0,30.4,36.1,9.2,6,18.3,,,,,24.3
North West,163,Knowsley,1995,phosphate,0,0,4.1,3.6,9.4,11,28.1,0,0,14.7,12.9,33.4,39,,,,,85.3
North West,163,Knowsley,1996,chemistry,0,0,0,3.3,22.9,1.9,28.1,0,0,0,11.7,81.5,6.8,0,11.7,81.5,6.8,
North West,163,Knowsley,1997,chemistry,0,0,1.6,4.5,19.7,2.4,28.1,0,0,5.7,15.9,70,8.4,0,21.6,70,8.4,
North West,163,Knowsley,1998,chemistry,0,0,0,8.7,11.9,7.5,28.1,0,0,0,31,42.3,26.6,0,31,42.3,26.6,
North West,163,Knowsley,1999,chemistry,0,2.1,4.4,2.3,13.7,5.6,28.1,0,7.5,15.5,8.3,48.8,19.8,7.5,23.9,48.8,19.8,
North West,163,Knowsley,2000,chemistry,0,0,5,2.6,15,5.6,28.1,0,0,17.8,9.1,53.3,19.8,0,26.9,53.3,19.8,
North West,163,Knowsley,2000,nitrate,0,2.6,14.5,4.2,1.9,4.9,28.1,0,9.3,51.5,14.9,6.8,17.5,,,,,24.3
North West,163,Knowsley,2000,biology,0,0,0,3.4,16.5,4.5,24.4,0,0,0,13.9,67.6,18.5,0,13.9,67.6,18.5,
North West,163,Knowsley,2000,phosphate,0,0.1,5.3,4.5,7.3,10.9,28.1,0,0.4,18.9,15.9,26,38.9,,,,,80.7
North West,163,Knowsley,2001,chemistry,0,0,6.6,6.5,9,6,28.1,0,0,23.5,23.2,31.9,21.4,0,46.7,31.9,21.4,
North West,163,Knowsley,2001,nitrate,0,2.6,14.5,4.2,1.9,4.9,28.1,0,9.3,51.5,14.9,6.8,17.5,,,,,24.3
North West,163,Knowsley,2001,phosphate,0,0.1,5.3,4.5,11.4,6.8,28.1,0,0.4,18.9,15.9,40.5,24.3,,,,,80.7
North West,163,Knowsley,2002,biology,0,0,2.4,1.7,18.3,0,22.5,0,0,10.8,7.6,81.7,0,0,18.3,81.7,0,
North West,163,Knowsley,2002,chemistry,0,0,3.9,2.7,17.1,4.5,28.1,0,0,13.7,9.4,60.9,16,0,23.1,60.9,16,
North West,163,Knowsley,2002,nitrate,0,2.6,14.5,4.2,2.7,4.2,28.1,0,9.3,51.5,14.9,9.4,14.9,,,,,24.3
North West,163,Knowsley,2002,phosphate,0,0.1,7.7,2.1,11.4,6.8,28.1,0,0.4,27.2,7.5,40.5,24.3,,,,,72.4
North West,163,Knowsley,2003,biology,0,0,2.4,1.7,17.9,0.4,22.5,0,0,10.8,7.6,79.7,2,0,18.3,79.7,2,
North West,163,Knowsley,2003,chemistry,0,0,6.4,2.5,12.9,6.3,28.1,0,0,22.9,8.9,45.7,22.4,0,31.8,45.7,22.4,
North West,163,Knowsley,2003,nitrate,0,2.6,14.5,4.2,1.9,4.9,28.1,0,9.3,51.5,14.9,6.8,17.5,,,,,24.3
North West,163,Knowsley,2003,phosphate,0,0.1,7.7,2.1,11.4,6.8,28.1,0,0.4,27.2,7.5,40.5,24.3,,,,,72.4
North West,163,Knowsley,2004,chemistry,0,1.6,2.2,10.9,1.6,11.8,28.1,0,5.7,8,38.7,5.6,42,5.7,46.6,5.6,42,
North West,163,Knowsley,2004,nitrate,0,2.6,14.5,4.2,2.7,4.2,28.1,0,9.3,51.5,14.9,9.4,14.9,,,,,24.3
North West,163,Knowsley,2004,phosphate,0,0.1,2.3,7.4,11.4,6.8,28.1,0,0.4,8.3,26.4,40.5,24.3,,,,,91.2
North West,163,Knowsley,2004,biology,0,0,2.4,4.1,19.1,0.4,26.1,0,0,9.3,15.7,73.3,1.7,0,25,73.3,1.7,
North West,163,Knowsley,2005,biology,0,0,2.4,8.3,14.9,0.4,26.1,0,0,9.3,31.8,57.2,1.7,0,41.1,57.2,1.7,
North West,163,Knowsley,2005,chemistry,0,0.1,3.7,13.5,1.6,9.2,28.1,0,0.4,13.3,47.9,5.6,32.9,0.4,61.1,5.6,32.9,
North West,163,Knowsley,2005,nitrate,0,3.1,15.7,2.6,2.7,4.2,28.1,0,10.8,55.6,9.2,9.4,14.9,,,,,24.3
North West,163,Knowsley,2005,phosphate,0,0.1,7.7,2.1,11.4,6.8,28.1,0,0.4,27.2,7.5,40.5,24.3,,,,,72.4
North West,163,Knowsley,2006,biology,0,0,2.4,10.6,13,0,26.1,0,0,9.3,40.8,49.9,0,0,50.1,49.9,0,
North West,163,Knowsley,2006,chemistry,0,2.1,3.4,12.7,2.4,7.5,28.1,0,7.5,12.2,45.2,8.5,26.6,7.5,57.4,8.5,26.6,
North West,163,Knowsley,2006,nitrate,0,3.1,15.7,2.6,2.7,4.2,28.1,0,10.8,55.6,9.2,9.4,14.9,,,,,24.3
North West,163,Knowsley,2006,phosphate,0,0.1,7.7,4.7,8.8,6.8,28.1,0,0.4,27.2,16.7,31.3,24.3,,,,,72.4
North West,164,Lancaster,1990,phosphate,81.9,46.4,5.4,0,1.1,0,134.7,60.8,34.4,4,0,0.8,0,,,,,0.8
North West,164,Lancaster,1990,biology,39.2,40.4,8.1,22.1,2.3,0,112.1,35,36.1,7.3,19.7,2,0,71,27,2,0,
North West,164,Lancaster,1990,chemistry,61.4,26,41.1,4.3,1.1,0,133.8,45.9,19.4,30.7,3.2,0.8,0,65.3,33.9,0.8,0,
North West,164,Lancaster,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,164,Lancaster,1993,chemistry,88.7,51.3,39,6.9,4,6,195.9,45.3,26.2,19.9,3.5,2,3.1,71.5,23.4,2,3.1,
North West,164,Lancaster,1994,chemistry,41.5,111,26.6,4.6,11.2,1.1,195.9,21.2,56.6,13.6,2.4,5.7,0.5,77.8,15.9,5.7,0.5,
North West,164,Lancaster,1995,biology,47.9,70.5,23.2,11.9,0,1.1,154.5,31,45.6,15,7.7,0,0.7,76.6,22.7,0,0.7,
North West,164,Lancaster,1995,chemistry,38.9,94.6,41.6,8.5,12.2,0,195.9,19.9,48.3,21.2,4.3,6.3,0,68.2,25.6,6.3,0,
North West,164,Lancaster,1995,nitrate,104.8,35.2,42.4,3.9,0,0.3,186.6,56.2,18.9,22.7,2.1,0,0.1,,,,,0.1
North West,164,Lancaster,1995,phosphate,82.6,79.4,6.6,11.1,7,0,186.6,44.2,42.6,3.5,5.9,3.7,0,,,,,9.7
North West,164,Lancaster,1996,chemistry,48.5,56.4,73,12.6,5.4,0,195.9,24.7,28.8,37.3,6.4,2.7,0,53.6,43.7,2.7,0,
North West,164,Lancaster,1997,chemistry,71,52.2,58.5,4,10.3,0,195.9,36.2,26.6,29.8,2,5.3,0,62.9,31.9,5.3,0,
North West,164,Lancaster,1998,chemistry,81.7,47.7,52.1,4.2,10,0,195.9,41.7,24.4,26.6,2.2,5.1,0,66.1,28.8,5.1,0,
North West,164,Lancaster,1999,chemistry,87.9,53.1,40.8,4,10,0,195.9,44.9,27.1,20.8,2,5.1,0,72,22.8,5.1,0,
North West,164,Lancaster,2000,phosphate,74.9,69.5,23.4,18.3,9.8,0,195.9,38.2,35.5,12,9.3,5,0,,,,,14.3
North West,164,Lancaster,2000,biology,10.3,41.6,79.6,12.5,14.6,0,158.5,6.5,26.3,50.2,7.9,9.2,0,32.7,58.1,9.2,0,
North West,164,Lancaster,2000,chemistry,89.3,60.4,32.2,4,10,0,195.9,45.6,30.8,16.4,2,5.1,0,76.4,18.5,5.1,0,
North West,164,Lancaster,2000,nitrate,68.1,68.7,50.1,8.7,0.3,0,195.9,34.8,35.1,25.6,4.4,0.1,0,,,,,0.1
North West,164,Lancaster,2001,phosphate,74.9,57.1,40.8,13.3,9.5,0.3,195.9,38.2,29.2,20.8,6.8,4.8,0.1,,,,,11.8
North West,164,Lancaster,2001,nitrate,108.9,59.7,23.1,3.9,0,0.3,195.9,55.6,30.5,11.8,2,0,0.1,,,,,0.1
North West,164,Lancaster,2001,chemistry,89.4,49.7,41.1,5.6,10,0,195.9,45.7,25.4,21,2.9,5.1,0,71,23.9,5.1,0,
North West,164,Lancaster,2002,biology,14.4,67.9,50.1,14.4,11.7,0,158.5,9.1,42.8,31.6,9.1,7.4,0,51.9,40.7,7.4,0,
North West,164,Lancaster,2002,chemistry,114.3,24.8,34.6,12.4,9.7,0,195.9,58.4,12.7,17.7,6.4,5,0,71,24,5,0,
North West,164,Lancaster,2002,nitrate,94.6,73,24.2,3.9,0.3,0,195.9,48.3,37.3,12.3,2,0.1,0,,,,,0.1
North West,164,Lancaster,2002,phosphate,70.8,57.1,37.5,16.6,9.8,4.1,195.9,36.1,29.2,19.1,8.5,5,2.1,,,,,15.6
North West,164,Lancaster,2003,biology,19.8,77.1,41.7,8.3,11.7,0,158.5,12.5,48.6,26.3,5.2,7.4,0,61.1,31.5,7.4,0,
North West,164,Lancaster,2003,chemistry,86.2,43.3,52.4,5,9,0,195.9,44,22.1,26.8,2.6,4.6,0,66.1,29.3,4.6,0,
North West,164,Lancaster,2003,nitrate,69.5,98,24.2,3.9,0.3,0,195.9,35.5,50.1,12.3,2,0.1,0,,,,,0.1
North West,164,Lancaster,2003,phosphate,72.8,53.4,42.6,10.4,12.6,4.1,195.9,37.2,27.3,21.7,5.3,6.4,2.1,,,,,13.8
North West,164,Lancaster,2004,nitrate,67.3,100.3,24.2,3.9,0.3,0,195.9,34.3,51.2,12.3,2,0.1,0,,,,,0.1
