Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,net_amount
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,12/08/2016,"1,597.26"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,"1,034.16"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,970.74
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,"1,309.50"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,12/08/2016,"1,766.11"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,12/08/2016,887.26
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,"1,034.15"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,12/08/2016,802.9
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,598.31
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Highways & Transport Services,Agency Staff,12/08/2016,"1,448.55"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,"1,023.05"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,"1,880.30"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,"1,340.50"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,802.9
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,598.31
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,"1,880.30"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,12/08/2016,"1,495.25"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,12/08/2016,963.2
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,18.8
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,15.2
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,12/08/2016,19.2
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,17.1
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,12/08/2016,31.4
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,12/08/2016,27.8
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,294.36
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,148.14
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,148.14
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,131.68
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,148.14
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,"1,428.90"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,"1,428.90"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,145.64
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,517.07
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,19/08/2016,"1,053.81"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,226.66
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,622.14
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,19/08/2016,603.92
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,941.36
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,"1,034.15"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,838.48
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,"1,022.31"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,"1,745.23"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,838.48
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,375.06
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,19/08/2016,"1,540.21"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Highways & Transport Services,Agency Staff,19/08/2016,"1,609.50"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,"1,309.50"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,802.9
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,"1,023.07"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,802.9
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,"1,492.90"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,"1,020.16"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,"1,095.25"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,"1,095.25"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,"1,692.27"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,"1,022.31"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,"1,495.25"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,950.31
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,19/08/2016,"1,095.25"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,672.44
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,"1,154.04"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,234.4
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,7.2
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,12.4
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,20.4
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,6
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,19/08/2016,18.8
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,16
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,10.8
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,17.2
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,22
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,19/08/2016,18.4
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,19/08/2016,20
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,19/08/2016,34.4
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,101.43
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,112.72
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,70.45
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,101.43
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,98.63
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,98.63
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,84.54
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,197.26
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,112.72
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,98.63
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,84.54
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,197.26
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,211.35
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,131.68
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,112.72
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,84.54
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,101.43
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,98.63
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,169.08
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,105.68
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,94.18
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,123.6
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,169.08
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,115.92
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,84.54
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,98.63
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,279.82
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,255.13
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,376.74
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,247.2
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,154.99
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,169.08
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,517.08
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,226.44
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,641.32
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,26/08/2016,603.65
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,517.08
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,978.25
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,838.48
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,26/08/2016,"1,276.20"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,26/08/2016,"1,281.30"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,26/08/2016,"1,504.24"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,26/08/2016,"1,778.69"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,"1,266.68"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,"1,034.15"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,26/08/2016,876.2
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,941.36
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,26/08/2016,"1,165.19"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,340.31
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,"1,241.81"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,917.98
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,"1,023.07"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,"1,023.07"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,26/08/2016,"1,595.25"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Environmental & Regulatory Services,Agency Staff,26/08/2016,"1,756.35"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,"1,034.13"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,26/08/2016,"1,095.25"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,598.31
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Adult Social Care,Agency Staff,26/08/2016,978.25
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,802.9
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Central Support Costs,Agency Staff,26/08/2016,"1,281.29"
Recruitment / Staffing,Hays Specialist Recruitment Ltd,Childrens & Educational Services,Agency Staff,26/08/2016,598.31
