Section 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1, Global communications revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,AUS,ESP,NED,SWE,IRL,POL,RUS,IND,,,,,,,,,,,,,,,,,,,,,
Analogue terrestrial take-up (%),7%,11%,0%,27%,0%,2%,39%,5%,0%,0%,19%,12%,44%,16%,,,,,,,,,,,,,,,,,,,,,
5 share concentration (%),57.9,68.5,54.7,70.3,28.1,29.2,74.7,61.2,58.4,63.5,55.8,71.4,63.1,31.1,,,,,,,,,,,,,,,,,,,,,
1 share concentration (%),20.9,26.1,12.7,21.2,7.1,10.5,21.5,16.4,20,20.9,24.2,20.9,18.2,13.7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE, industry data, Médiamétrie, Eurodata TV Worldwide (www.mediametrie.com) and Ofcom calculations. Notes: The figure for Canada relates to the viewing in non-Quebec households. The audience figures for AUStralia are the five metro cities. Interpretation and manipulation of data is solely Ofcom’s responsibility. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.15 Public spending on channels per percentage point of audience share generated, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,AUS,ESP,NED,SWE,IRL,POL,RUS,IND,,,,,,,,,,,,,,,,,,,,,
Public funding per percentage point of share (£m/pp),79,66,109,37,230,99,32,22,19,9,5,2,0.3,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE, industry data, Médiamétrie, Eurodata  TV Worldwide (www.mediametrie.com) and Ofcom calculations. Interpretation and manipulation of data is solely Ofcom’s responsibility. Note: (i) The figure for Canada relates to the viewing in non-Quebec households and the AUStralian audience share figure is for the five metro cities (ii) Some services are funded from both public and commercial sources. This effect is not captured in the analysis above; it may have a tendency to exaggerate the impact of public funding in attracting viewer share.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.16 Advertiser revenue generated for an hour of television viewing, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,AUS,ESP,NED,SWE,IRL,POL,RUS,IND,,,,,,,,,,,,,,,,,,,,,
Advertising value of a viewer hour (pence),4,3,3,5,6,4,7,3,4,4,5,1,1,0.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE, industry data, Médiamétrie, Eurodata TV Worldwide and Ofcom calculations. Notes: The audience share data used for Canada relates to the viewing in non-Quebec households. The AUStralian audience share figure is for metro cities. Interpretation and manipulation of data is solely Ofcom’s responsibility. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.17 TV industry revenue among comparator countries

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues (£bn),2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,67,72,78,83,82,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe / Canada,47,49,50,53,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan / Australia,28,29,29,30,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIC,13,15,17,19,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009. Revenues include advertising, subscriptions and sources of public funding only. Europe includes the European countries in this analysis – UK, France, Germany, Italy, Spain, Netherlands, Sweden, Republic of Ireland and Poland. BRIC is Brazil, Russia, India and China.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.18 TV industry revenue among European countries and Canada

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,10.6,11.1,11.2,11.3,11.3,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,9.2,9.8,9.8,10.3,10.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,8.1,8.2,8.4,9.3,9.8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,6.3,7,7.3,7.6,8.1,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,3.9,4.2,4.9,4.9,4.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,2.9,2.9,3.2,3.3,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,2,2.1,2.1,2.3,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,2.2,1.4,1.5,1.7,1.9,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,1.1,1.2,1.3,1.3,1.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,0.6,0.6,0.7,0.9,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009. Revenues include advertising, subscriptions and sources of public funding only. Europe includes the European countries in this analysis – UK, France, Germany, Italy, Spain, Netherlands, Sweden, Republic of Ireland and Poland. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.19 TV industry revenues among BRIC countries

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£bn),2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,4,5,5,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,1,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,2,2,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,5,6,7,7,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009. Revenues include advertising, subscriptions and sources of public funding only. BRIC is Brazil, Russia, India and China. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.20 TV revenues among comparator countries by source, 2004 and 2009
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revenues (£bn)
",CHN,,IND,,RUS,,BRA,,POL,,IRL,,SWE,,NED,,ESP,,AUS,,CAN,,ITA,,GER,,FRA,,UK,,,,,,
,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,,,,,
Advertising revenues,5.16,2.73,1.19,0.58,2.29,1.01,4.75,2.75,0.73,1.41,0.27,0.21,0.37,0.31,0.69,0.66,2.1,2.22,1.74,1.63,1.74,1.66,3.87,4.04,3.31,3.43,2.56,2.85,3.14,3.41,,,,,
Public funding,0,0,0.01,0.01,0.01,0.01,0.11,0,0.06,0.11,0.18,0.15,0.29,0.31,0.65,0.6,0.63,0.6,0.52,0.46,0.52,0.44,1.45,1.31,4.23,3.8,2.21,1.55,2.77,2.54,,,,,
Subscription fees,3.55,2.58,2.85,1.65,0.54,0.12,3.16,1.27,1.26,0.69,0.43,0.2,0.7,0.5,0.93,0.77,1.24,1.07,1.35,0.74,1.21,0.75,2.55,0.97,3.7,3.38,5.25,3.67,4.6,3.48,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009. Revenues include advertising, subscriptions and sources of public  funding only. Different scale used for USA and Japan due to larger size.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.21 TV revenue per head, by source, 2009
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue per head (£),UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
Advertising,51,41,40,67,105,52,92,81,45,41,40,58,19,24,16,1,4,,,,,,,,,,,,,,,,,,
Subscription,74,84,45,44,159,36,69,63,27,56,77,93,33,16,4,2,3,,,,,,,,,,,,,,,,,,
Public funding,45,35,51,25,1,16,35,24,14,39,33,39,2,1,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009. Revenues include advertising, subscriptions and sources of public funding only; figures inside the bars represent industry revenue per head by source.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.22 
Changes in components of TV revenues per head: 2008 to 2009
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual change (£),CHN,IND,RUS,BRA,POL,IRL,SWE,NED,ESP,AUS,JPN,CAN,USA,ITA,GER,FRA,UK,,,,,,,,,,,,,,,,,,
Advertising,0.34,0.04,-3.53,1.83,-2.41,-13.18,-5.37,-4.13,-13.02,-6.71,-10.33,-5.34,-12.01,-7.49,-3.27,-6.99,-5.71,,,,,,,,,,,,,,,,,,
Subscription,0.1,0.35,0.82,2.04,5.93,7.17,1.74,1.42,-1.13,4.45,0.66,3.48,7.32,3.04,0.17,4.52,4.75,,,,,,,,,,,,,,,,,,
Public funding,0,0,0,0,-0.64,-0.66,-1.24,0.96,3.9,0.36,0.61,0.83,-0.2,0.42,2.58,5.42,0.3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009. Revenues include advertising, subscriptions and sources of public funding only; the bars represent changes in industry revenue per head, by source.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.23 Cost of a TV licence fee
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
Cost of standard TV licence fee (£),142.5,104.8,191.6,95.5,,,101.9,,,,173.5,142.1,38.25,,,,,,,,,,,,,,,,,,,,,,
Increment for DTH TV licence (£),,,,,,,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pay TV take-up (%),51,56,65,25,90,92,58,31,28,97,99,76,84,14,49,78,47,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009; Prices as of end 2009. Note: The Japanese licence fee costs £102 in terrestrial households or £175 (rounded) to receive a larger number of channels via 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.24 Latest reported revenues from selected free-to-view TV operators, 2009
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual revenue for latest available period (£bn)
",RTL,NHK,Fuji,BBC,Mediaset,FT,P7S1,RAI,ITV,TF1,RTVE,ABC ,PBS,,,,,,,,,,,,,,,,,,,,,,
2009,4.8,4.4,2.9,2.7,2.6,2.5,2.5,2.2,1.8,1.7,1,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009; Comparisons should be regarded as indicative only due to the possibility of differences in financial reporting between broadcasters. From 2009, RTL figure includes its key European markets; Mediaset includes Italian business and from 2005 FTA  and pay TV (year ending Dec 31) BBC represents its income allocated to TV; RAI figures include licence fee (split between radio and TV unknown), TV advertising and sponsorship; ProSieben, group revenues (years ended Dec 31); France Televisions is licence fee and advertising; TF1 includes French channels (years ended Dec 31); PBS and the ABC are total revenue to year ending June 30; Fuji TV is broadcasting and production, year ending March 31; RTVE is advertising and public funding (as of year ending Dec 31) .
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.25 Latest reported revenues from selected pay-TV operators, 2009
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenues (£bn),Comcast,DirecTV,Dish,BSkyB,Canal+,Virgin Media,Sky Italia,Sogecable,Sky Perfect,Foxtel,Sky Deutschland,,,,,,,,,,,,,,,,,,,,,,,,
2009,13.3,11.9,7.4,4.7,4,3.8,2.4,1.4,1,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009; where possible we have reported revenues related to the TV services only (including advertising). Comcast includes video and advertising revenues; Time Warner Cable includes video and advertising revenues; BSkyB include retail, wholesale and advertising revenues; KDG includes cable access and TV/radio revenues; Virgin Media includes consumer and content revenues; Sky Italia revenue based on IDATE's estimate from News Corporation's annual report; Canal+ represents Canal Plus Group pay-TV revenues; Sogecable’s platform is Digital Plus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.26 Pay TV ARPU, 2004 - 2009

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARPU (£)
",CHN,,IND,,RUS,,BRA,,POL,,IRE,,SWE,,NED,,ESP,,AUS,,JPN,,CAN,,USA,,ITA,,GER,,FRA,,UK,,
,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,,
Pay TV ARPU,20,21,27,29,22,12,422,330,123,129,369,232,162,147,131,120,294,333,557.1,445.9,314,369,106,76,480,369,431,294,151,133,350,357,344,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009. ARPU is average revenue per user, representing the average revenue generated per pay TV subscriber.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.27 Latest reported ARPU for selected pay-TV operators, end 2009
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARPU (£),Comcast,DirecTV,Foxtel,Virgin Media,Dish,BSkyB,Canal+,Sky Italia,Sogecable,Sky Perfect,Sky Deutschland,,,,,,,,,,,,,,,,,,,,,,,,
2009,907,656,551,538,537,492,476,469,437,290,271,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009; latest available company reports; ARPU is average revenue per user; figures are indicative only as definitions of ARPU may differ and some operators include telecommunications revenue in annual ARPU. Platform represents main distribution method.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.28 Pay-TV take-up versus DVR take-up showing ARPU levels
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DVR take-up(%),Pay TV take up (%),ARPU (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,32%,51%,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,19%,56%,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,20%,65%,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,23%,25%,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,39%,90%,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAP,31%,58%,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY,10%,90%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009; ARPU and pay-TV take-up from Ofcom / IDATE analysis as of end 2009. ARPU represents average subscriber revenues by country and has been converted to GBP using 2009 IMF average exchange rates. DVR take-up from Ofcom consumer research, October 2010, for all adults 18 – 64. Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.29 Number of HDTV homes, by platform and country, end 2009
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBSCRIBERS (m),"UK, FRA, GER, ITA",USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satellite,9,14.7,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable,2.5,21.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPTV,2.2,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTT,5.3,11.3,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom. Notes: Paying and FTA HD homes; no data available for IPTV in Japan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.30 Number of HDTV homes, by platform and country, end 2009

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscribers,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satellite,2.4,2.8,1.9,1.8,14.7,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable,0.9,1.1,0.5,0,21.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPTV,0,1.9,0.3,0,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTT,0,5.3,0,0,11.3,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom. Notes: Paying and FTA HD homes; no data available for IPTV in Japan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.31 Number of HDTV channels and HD penetration, end 2009*

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of HD channels 
",UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satellite,37,16,7,30,150,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable,9,16,7,0,130,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPTV,0,18,5,0,118,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTT,4,5,0,7,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of TV homes with HD (%),13%,42%,7%,7%,44%,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / industry data / Ofcom. Notes: Penetration rates based on HD take-up among all TV households. Paying and FTA HD homes; DTT in Japan offers maximum of 9 channels but some regions receive 6. *indicates that not all data for end 2009: UK DTT as of July 2010; Satellite in Italy as of August 2010; DTT in Italy as of August 2010, including Calcio HD which is PPV; cable in Germany as of August 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.32 Uses of HD TV sets

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of use (%),UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch HD sports ,27%,33%,25%,46%,52%,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch HD films,34%,54%,45%,73%,56%,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other HD channels,48%,70%,44%,58%,76%,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch Blu-ray/HD-DVDs,30%,38%,34%,34%,37%,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Play HD video games,29%,38%,20%,30%,27%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010. Base sizes: UK=597, France=467, Germany=399, Italy=480, USA=581, Japan=139
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.33 Pay TV DVR subscribers, 2008 - 2009

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subscribers (m)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHN,,IND,,RUS,,BRA,,POL,,IRE,,SWE,,NED,,ESP,,AUS,,JPN,,CAN,,ITA,,GER,,FRA,,UK,,USA,,
,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,2008,2009,,
Pay DVR,0,0,0.09,0.01,0.01,0,0.13,0.04,0.62,0.3,0.04,0.21,0.31,0.23,0.33,0.18,0.24,0.06,0.9,0.57,2.29,1.81,2.42,1.56,0.66,0.44,1.58,0.9,4.91,3.27,7.79,5.58,35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Screen Digest
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.34 Video on-demand use in Virgin Media and Ono homes

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VoD reach (%)
",Virgin Media ,Ono ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2008,52,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2009,58,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Virgin Media and Ono company results
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.35 Take-up of VoD on the TV, by country

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take-up (%),20%,27%,6%,11%,36%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research, October 2010, for all adults 18 – 64. Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 3.36 Global pay-per-view and video-on-demand revenues
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues (£bn),2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pay per view,2.28,2.55,2.77,2.99,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video on demand,1.11,1.52,2.08,2.59,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ofcom analysis based on data taken from PricewaterhouseCoopers Global Entertainment and Media Outlook 2010-2014 @ www.pwc.com/outlook. Notes: Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used an exchange rate of $1.5643 to the £GBP, representing the IMF average for 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
