Data is Unweighted,,,Q5,,,,,,,,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,,,,,,,Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"For each of the statements below, how often do you feel this way about your job?",,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your job?,,,,,,,,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: job design and work pressure, and being respected and valued at work",,,a) I look forward to going to work,,,,,,b) I am enthusiastic about my job,,,,,,c) Time passes quickly when I am working ,,,,,,"a) I have clear, planned goals and objectives for my job",,,,,,b) I always know what my work responsibilities are,,,,,,c) I am trusted to do my job,,,,,,d) I am able to do my job to a standard I am personally pleased with,,,,,,a) There are frequent opportunities for me to show initiative in my role,,,,,,b) I am able to make suggestions to improve the work of my team / department,,,,,,c) I am involved in deciding on changes introduced that affect my work area / team / department,,,,,,d) I am able to make improvements happen in my area of work,,,,,,e) I am unable to meet all the conflicting demands on my time at work,,,,,,"f) I have adequate materials, supplies and equipment to do my work",,,,,,g) There are enough staff at this organisation for me to do my job properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY3,Norfolk Community Health And Care NHS Trust,Q35,3,12,38,34,13,458,1,5,33,35,27,457,1,2,21,35,41,457,2,11,17,56,14,457,1,10,11,55,24,460,1,2,7,57,33,460,3,15,11,49,21,460,3,9,20,53,15,459,2,7,9,65,17,458,8,17,19,44,12,459,5,15,24,46,10,458,3,20,26,33,18,459,11,34,20,31,5,458,25,34,20,19,3,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLL,Peninsula Community Health,Q39,5,8,33,39,16,371,2,5,25,37,32,369,1,3,14,36,46,370,2,8,19,55,17,372,1,7,9,57,26,372,1,1,6,53,39,371,2,11,10,47,30,371,1,8,18,51,21,370,1,8,12,58,20,370,5,18,23,37,16,369,2,14,28,45,12,370,3,21,28,30,17,371,5,21,24,43,7,372,21,33,22,20,5,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1D,Shropshire Community Health NHS Trust,Q34,3,16,33,32,15,417,2,9,27,32,30,416,1,5,18,32,44,416,2,13,20,51,13,416,1,11,9,58,20,418,1,3,7,56,33,418,3,14,14,46,24,418,3,9,20,55,13,417,2,6,15,61,15,417,7,19,20,42,12,415,5,14,24,47,10,414,5,21,27,33,14,410,5,20,18,51,7,414,24,34,17,22,4,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1C,Solent NHS Trust,Q38,4,12,34,35,16,435,1,8,26,35,29,435,3,4,17,34,42,436,5,9,20,47,19,438,3,9,10,54,24,439,2,2,6,51,38,439,4,12,11,47,26,439,3,12,19,49,17,437,3,11,15,52,19,438,9,18,22,38,13,437,5,16,26,40,13,435,5,28,23,25,18,432,7,18,21,44,10,436,22,29,19,24,5,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1E,Staffordshire And Stoke On Trent Partnership NHS Trust,Q34,3,12,36,37,12,379,0,6,27,37,29,379,1,2,18,36,43,379,2,6,20,58,13,381,1,7,11,55,25,381,1,4,4,53,39,381,3,11,10,46,29,380,1,9,21,50,18,378,1,8,15,58,18,381,7,18,21,40,14,381,3,13,28,42,14,378,4,22,27,29,18,380,6,21,19,43,10,380,20,30,19,25,6,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PT,Suffolk Community Healthcare,Q35,3,9,39,33,16,181,2,3,33,35,27,180,1,1,22,34,42,181,2,11,23,50,14,179,2,11,10,58,19,180,1,1,7,59,33,181,2,12,13,46,28,180,1,12,22,51,15,181,1,8,14,62,15,181,8,24,19,38,12,181,3,23,23,42,8,179,4,22,32,28,14,180,3,20,26,42,10,178,16,34,22,26,3,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDR,Sussex Community NHS Trust,Q37,3,10,32,41,14,434,2,6,26,38,29,433,2,4,17,32,45,433,2,9,18,55,17,433,2,7,11,55,25,435,1,2,8,50,39,436,3,12,10,49,26,435,2,9,18,52,19,434,2,5,13,60,21,433,4,17,23,42,14,433,3,13,25,46,13,432,3,22,26,33,17,430,5,22,19,46,8,434,15,37,22,22,4,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1G,Torbay and Southern Devon Health and Care NHS Trust,Q39,1,8,30,41,18,413,0,4,18,44,34,411,0,2,16,38,43,413,1,7,14,56,21,415,1,7,9,55,29,414,1,2,5,48,44,415,1,7,10,49,32,414,2,9,16,49,24,414,2,6,12,55,25,415,4,15,23,40,19,415,2,12,24,45,16,412,4,26,28,31,11,411,3,11,15,55,15,414,12,29,24,28,7,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY7,Wirral Community NHS Trust,Q31,3,11,32,41,13,361,1,4,24,40,30,361,1,4,15,32,48,360,3,6,18,55,18,359,2,6,12,54,26,361,1,3,7,49,40,360,2,9,10,49,30,360,4,9,19,48,19,361,2,4,16,55,22,361,7,15,23,39,16,360,5,12,26,41,16,361,4,25,28,34,8,359,5,17,20,49,9,358,14,29,23,29,6,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOCIAL ENTERPRISES,--,2,7,28,42,20,941,1,3,21,39,35,941,1,3,15,33,48,939,2,6,15,54,24,937,1,6,9,54,30,939,1,2,5,48,45,941,2,8,10,46,34,939,2,6,15,49,28,939,2,3,13,53,29,936,5,14,21,38,22,939,3,10,23,43,21,933,5,23,26,31,15,937,4,16,17,48,14,939,15,26,22,29,9,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQL,NAViGO,Q32,2,4,24,42,28,304,0,3,13,38,45,304,1,2,13,32,53,302,2,6,10,52,30,303,1,4,6,51,37,302,1,1,4,44,50,304,2,4,7,45,43,303,1,5,15,44,36,303,2,2,11,47,38,301,5,11,20,34,30,303,3,5,24,37,30,300,9,29,25,25,12,302,3,8,14,52,24,303,7,15,21,41,16,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLT,North Somerset Community Partnership CFIC,Q39,3,8,30,47,13,301,1,3,24,43,29,301,1,3,16,31,50,300,1,6,16,54,23,299,1,6,10,55,28,300,1,2,5,46,47,300,1,12,13,45,29,299,1,7,17,50,25,300,2,3,13,54,28,298,5,13,22,38,22,300,2,9,21,48,20,298,3,18,24,35,20,300,3,20,19,49,8,300,21,34,19,20,5,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR5,Plymouth Community Healthcare,Q39,3,10,31,38,19,336,1,4,25,38,32,336,1,3,17,37,42,337,2,7,18,55,18,335,1,7,11,57,24,337,1,2,6,54,38,337,2,8,10,49,30,337,3,7,15,52,23,336,3,5,14,59,20,337,4,17,21,43,14,336,4,14,25,44,13,335,4,21,30,33,11,335,6,21,19,43,11,336,17,28,26,24,4,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUST BREAKDOWN BY STRATEGIC HEALTH AUTHORITY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,All trusts in East Midlands SHA,--,4,12,32,36,16,"6,675",2,6,26,37,30,"6,656",2,4,21,33,39,"6,656",3,9,18,52,18,"6,685",2,8,9,54,27,"6,696",1,3,7,50,39,"6,695",3,10,9,47,30,"6,678",3,11,17,51,17,"6,688",3,9,15,55,18,"6,681",9,19,23,37,13,"6,668",5,16,26,41,12,"6,651",5,24,28,31,13,"6,629",6,18,18,48,10,"6,665",20,31,21,23,5,"6,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,All trusts in East of England SHA,--,4,10,33,37,17,"11,351",2,6,25,36,31,"11,315",2,4,20,34,41,"11,331",2,8,17,54,18,"11,352",2,6,9,54,29,"11,373",1,2,6,51,39,"11,368",3,9,10,47,31,"11,351",3,10,19,51,18,"11,352",3,8,15,56,18,"11,368",8,18,23,37,14,"11,343",5,15,26,41,13,"11,333",4,24,28,31,13,"11,281",6,19,20,46,9,"11,341",19,30,21,24,5,"11,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,All trusts in London SHA,--,3,10,31,36,20,"14,397",2,6,23,36,34,"14,360",2,4,19,33,42,"14,377",2,7,15,54,22,"14,413",2,5,8,52,33,"14,449",1,2,6,47,43,"14,436",3,8,8,46,35,"14,409",3,9,17,50,21,"14,399",3,7,15,52,22,"14,418",7,16,22,38,16,"14,394",4,12,24,44,16,"14,357",5,24,28,32,12,"14,290",6,18,19,46,11,"14,379",15,29,23,28,6,"14,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,All trusts in North East SHA,--,4,12,33,37,14,"4,759",2,6,26,36,31,"4,746",3,4,20,35,39,"4,750",2,7,16,55,19,"4,753",1,6,8,55,30,"4,760",1,2,7,51,39,"4,764",2,7,8,48,34,"4,755",3,10,19,49,19,"4,740",3,9,15,53,19,"4,748",9,19,21,37,14,"4,740",6,16,25,39,14,"4,730",5,26,30,29,11,"4,725",5,16,18,49,11,"4,740",16,28,22,28,6,"4,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,All trusts in North West SHA,--,4,12,33,36,15,"16,178",2,6,25,37,31,"16,142",2,4,19,34,41,"16,151",2,8,17,54,19,"16,147",1,6,8,55,30,"16,189",1,2,6,50,41,"16,192",2,9,9,46,34,"16,171",3,10,18,50,19,"16,148",3,8,15,54,20,"16,146",7,19,22,37,14,"16,130",5,16,25,41,14,"16,093",4,24,28,32,12,"16,042",6,18,18,49,10,"16,126",17,30,21,26,5,"16,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,All trusts in South Central SHA,--,3,11,31,37,17,"6,625",1,5,24,38,32,"6,615",2,4,20,34,40,"6,620",2,8,18,54,18,"6,638",2,6,9,56,28,"6,642",1,2,7,51,39,"6,644",2,9,10,49,30,"6,630",3,9,18,52,18,"6,616",3,8,16,54,19,"6,633",7,17,24,38,13,"6,611",5,14,26,42,13,"6,599",4,24,28,31,12,"6,568",6,20,20,46,9,"6,602",18,30,23,24,4,"6,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,All trusts in South East Coast SHA,--,4,11,33,36,16,"7,392",2,6,26,37,30,"7,384",2,4,21,34,39,"7,381",3,8,17,55,17,"7,399",2,6,8,57,27,"7,417",1,3,6,52,38,"7,406",3,10,11,48,29,"7,401",3,10,19,50,18,"7,386",3,8,15,55,19,"7,395",8,18,24,36,14,"7,375",6,15,26,40,13,"7,375",5,23,29,31,12,"7,347",8,20,19,45,8,"7,383",19,30,22,25,4,"7,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,All trusts in South West SHA,--,4,11,33,37,15,"12,446",2,6,26,38,29,"12,416",2,4,20,36,38,"12,429",2,8,18,55,17,"12,446",2,6,10,56,27,"12,474",1,3,6,51,39,"12,463",3,10,11,48,28,"12,441",3,10,18,51,18,"12,445",3,8,15,55,19,"12,449",8,19,23,37,14,"12,441",5,16,26,41,13,"12,401",4,24,27,31,13,"12,380",6,19,20,46,8,"12,413",19,31,22,24,4,"12,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,All trusts in West Midlands SHA,--,4,12,33,36,16,"11,486",2,6,25,36,31,"11,468",2,4,20,34,40,"11,487",2,8,18,55,17,"11,486",2,6,8,57,27,"11,519",1,2,6,51,39,"11,507",3,9,9,47,31,"11,491",3,10,18,50,18,"11,480",3,8,16,54,18,"11,499",8,19,22,37,13,"11,482",5,15,26,41,13,"11,451",4,24,29,31,12,"11,430",6,18,19,47,9,"11,462",17,30,22,26,5,"11,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,All trusts in Yorkshire and the Humber SHA,--,4,12,33,35,15,"9,099",2,6,25,37,30,"9,077",2,4,20,35,39,"9,065",2,8,17,54,18,"9,085",2,6,8,55,28,"9,105",1,3,6,50,40,"9,096",3,9,10,47,32,"9,085",3,9,18,51,19,"9,079",3,8,15,55,19,"9,076",8,18,22,37,14,"9,073",5,16,26,41,13,"9,055",4,25,28,30,12,"9,026",6,18,18,48,10,"9,070",17,29,22,26,6,"9,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACUTE TRUSTS BY STRATEGIC HEALTH AUTHORITY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Acute trusts in East Midlands SHA,--,4,12,32,35,17,"3,136",2,5,24,37,32,"3,125",2,4,19,34,41,"3,125",2,8,17,54,19,"3,141",2,6,6,55,32,"3,144",1,2,5,48,43,"3,146",3,9,9,45,34,"3,142",3,11,18,50,17,"3,137",3,10,16,54,17,"3,140",9,20,23,36,12,"3,133",6,18,27,39,11,"3,128",5,22,28,32,13,"3,113",8,20,19,44,9,"3,134",22,32,20,21,4,"3,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Acute trusts in East of England SHA,--,3,9,32,37,18,"7,148",1,5,24,37,32,"7,127",1,4,19,34,42,"7,143",2,7,17,55,20,"7,154",1,5,7,54,32,"7,170",1,2,6,50,42,"7,163",2,8,9,46,34,"7,157",2,9,19,52,18,"7,150",3,8,15,56,18,"7,160",7,18,24,38,14,"7,153",5,15,27,40,13,"7,145",4,24,30,31,11,"7,100",6,19,21,46,9,"7,147",18,30,22,25,5,"7,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Acute trusts in London SHA,--,3,10,31,36,21,"9,797",2,5,23,36,34,"9,778",2,3,18,33,43,"9,787",2,6,15,54,23,"9,823",1,4,7,52,35,"9,840",1,2,5,47,45,"9,834",2,7,8,46,37,"9,809",3,9,17,50,21,"9,813",3,7,16,52,22,"9,824",7,17,23,38,16,"9,810",4,12,24,43,16,"9,778",5,24,29,32,10,"9,725",6,18,19,47,11,"9,793",15,29,23,28,6,"9,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Acute trusts in North East SHA,--,4,11,34,37,14,"3,561",2,5,25,36,31,"3,547",2,4,19,34,40,"3,551",2,6,16,57,19,"3,554",1,5,7,56,31,"3,562",1,2,6,51,40,"3,564",2,7,8,48,34,"3,557",3,10,19,50,18,"3,547",2,8,15,55,19,"3,554",7,18,22,39,14,"3,546",4,15,26,41,13,"3,540",4,27,29,30,10,"3,535",5,17,18,50,10,"3,549",15,28,22,28,6,"3,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Acute trusts in North West SHA,--,4,12,33,36,15,"11,128",2,6,25,36,31,"11,107",2,4,19,34,41,"11,109",2,7,18,54,19,"11,105",1,5,7,55,32,"11,139",1,2,5,49,43,"11,142",2,9,8,46,35,"11,127",3,10,19,49,19,"11,107",3,8,15,54,19,"11,107",7,19,22,37,14,"11,099",5,16,25,40,14,"11,071",4,24,29,32,12,"11,030",6,18,18,48,10,"11,095",18,31,21,25,5,"11,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Acute trusts in South Central SHA,--,3,12,33,35,17,"3,678",1,5,24,38,31,"3,663",2,3,20,35,40,"3,671",2,7,18,55,18,"3,675",1,5,8,55,30,"3,679",1,2,6,51,40,"3,682",2,9,10,48,31,"3,673",2,9,19,52,18,"3,666",3,8,16,54,19,"3,676",7,18,24,38,14,"3,664",5,15,27,41,12,"3,659",4,24,28,32,12,"3,643",6,22,21,43,8,"3,657",19,33,23,22,4,"3,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Acute trusts in South East Coast SHA,--,4,10,33,37,17,"4,826",2,5,25,37,31,"4,825",1,4,20,35,40,"4,823",2,7,17,56,19,"4,836",1,5,7,57,29,"4,848",1,2,5,52,40,"4,841",2,8,10,48,31,"4,836",2,9,19,50,19,"4,830",3,7,16,55,19,"4,833",7,17,24,37,14,"4,821",5,15,26,41,13,"4,820",5,24,30,32,10,"4,794",7,19,19,46,8,"4,822",17,29,23,26,4,"4,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Acute trusts in South West SHA,--,4,11,33,37,15,"7,637",2,6,26,38,29,"7,624",2,4,20,35,39,"7,626",2,8,17,55,17,"7,639",1,5,9,56,29,"7,663",1,2,6,50,41,"7,652",3,10,11,47,29,"7,640",3,10,18,52,17,"7,640",3,8,15,56,18,"7,646",8,19,23,37,14,"7,632",5,16,26,40,12,"7,618",4,25,27,31,13,"7,593",7,21,20,45,8,"7,616",20,31,21,24,4,"7,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Acute trusts in West Midlands SHA,--,4,11,33,36,16,"7,308",2,6,25,36,31,"7,296",2,3,20,34,41,"7,308",2,7,18,55,18,"7,301",2,5,8,56,29,"7,325",1,2,6,51,40,"7,316",3,9,9,46,32,"7,304",3,10,19,50,19,"7,302",3,8,16,54,19,"7,314",7,19,23,38,14,"7,302",5,15,26,41,13,"7,287",4,24,29,31,11,"7,266",6,18,19,48,10,"7,289",17,30,21,26,5,"7,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Acute trusts in Yorkshire and the Humber SHA,--,4,13,34,34,14,"5,368",2,6,26,37,29,"5,352",2,4,20,36,38,"5,346",2,8,17,55,18,"5,361",1,6,8,56,29,"5,372",1,3,5,51,40,"5,365",3,9,9,47,32,"5,356",3,10,19,51,18,"5,352",3,9,15,55,18,"5,351",8,19,23,37,13,"5,346",5,16,26,41,11,"5,341",4,25,29,30,12,"5,320",6,19,18,48,9,"5,351",19,30,21,25,5,"5,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMMUNITY TRUSTS,--,4,11,33,37,15,"8,327",2,6,26,37,29,"8,302",1,3,18,34,44,"8,314",3,9,18,54,17,"8,323",2,8,10,56,25,"8,338",1,3,6,52,38,"8,345",3,11,10,47,29,"8,332",3,10,19,50,18,"8,323",2,7,14,57,20,"8,329",7,17,22,40,15,"8,319",4,14,25,44,13,"8,308",4,23,26,31,15,"8,272",6,20,19,46,9,"8,306",19,32,21,24,4,"8,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Community health trusts in East Midlands SHA,--,3,10,33,38,17,914,1,4,25,37,33,912,1,3,17,33,46,912,1,10,18,52,19,914,1,7,10,56,26,912,1,3,5,54,38,914,3,11,11,46,29,912,2,9,21,49,18,912,2,6,17,55,20,914,5,16,26,38,15,911,3,12,29,41,15,909,4,23,26,32,16,903,4,17,18,50,10,905,19,28,24,24,6,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Community health trusts in East of England SHA,--,3,11,35,36,15,"1,515",1,5,30,37,27,"1,508",1,3,20,34,42,"1,511",2,10,19,53,15,"1,507",1,9,10,57,24,"1,510",1,2,7,54,35,"1,514",3,13,11,47,26,"1,509",3,11,19,50,17,"1,514",2,8,12,60,18,"1,513",8,19,20,40,14,"1,510",5,17,24,43,11,"1,509",4,22,26,32,16,"1,507",7,24,22,40,7,"1,510",21,36,20,21,3,"1,509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Community health trusts in London SHA,--,4,10,35,35,16,674,2,6,29,36,27,671,1,4,16,36,43,673,2,8,15,57,18,675,2,8,10,53,28,676,2,3,6,51,39,676,4,10,9,45,31,677,2,9,16,53,19,675,2,5,14,58,21,675,6,14,26,40,14,674,3,11,26,47,14,676,4,21,28,32,16,668,5,19,20,47,9,673,20,29,22,25,4,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Community health trusts in North West SHA,--,4,13,33,37,13,"1,133",2,6,27,36,30,"1,130",1,4,19,33,43,"1,132",3,8,19,53,17,"1,131",2,7,11,55,26,"1,136",2,3,7,50,39,"1,135",2,9,11,47,31,"1,133",4,11,20,49,16,"1,133",3,7,14,56,20,"1,133",6,17,20,42,15,"1,133",4,14,24,44,14,"1,131",4,24,26,34,11,"1,127",5,18,20,47,9,"1,130",18,32,21,25,4,"1,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Community health trusts in South Central SHA,--,4,9,31,40,17,840,1,6,21,39,33,841,2,4,17,33,44,841,4,8,16,50,22,844,3,8,8,54,27,845,2,2,6,48,42,845,3,10,9,48,31,844,3,9,18,49,21,840,3,8,14,52,24,842,6,15,22,39,17,841,4,13,23,45,16,839,4,28,26,27,15,833,5,16,19,48,12,838,17,29,24,25,5,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Community health trusts in South East Coast SHA,--,4,10,33,37,15,872,2,6,26,38,28,868,2,3,18,31,45,869,3,8,17,56,15,872,2,7,11,57,24,874,1,3,7,54,36,875,4,11,11,48,27,875,2,9,21,51,17,872,2,7,13,59,19,870,6,18,24,39,13,870,3,14,27,44,12,871,3,25,26,30,16,870,6,21,18,48,8,873,16,34,21,25,3,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Community health trusts in South West SHA,--,3,8,32,40,17,784,1,4,22,40,33,780,1,3,15,37,45,783,2,7,16,56,19,787,1,7,9,56,28,786,1,2,5,51,41,786,2,9,10,48,31,785,2,9,17,50,23,784,2,7,12,56,22,785,4,17,23,38,18,784,2,13,26,45,14,782,4,24,28,31,14,782,4,16,20,49,11,786,16,31,23,24,6,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
