Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242825,1215,HAL00012535/xxxxxxx/25000015292013,SW19 4DT
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VALUATION OFFICE AGENCY,LOMD242831,5572,HAL00006804//25000015282013,SW19 4DT
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VERIZON UK LIMITED,604040,8872.38,re- reciepted as advised by MP finance advance prepayment #8215.17,RG2 6DA
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,VIRGIN MEDIA LIMITED (CIS) DIVERT/CONNECT,604044,630482.09,re- reciepted as advised by MP finance advance prepayment #583779.71,BD4 8YD
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,WESTERN POWER DISTRIBUTION (MIDLANDS) T/A WPD MIDLANDS NETWORKS SERVICES LTD CIS,604018,3278943.23,re- reciepted as advised by MP finance advance prepayment #3278943.23,PL4 0YU
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,WESTERN POWER DISTRIBUTION (MIDLANDS) T/A WPD MIDLANDS NETWORKS SERVICES LTD CIS,604019,24576.84,re- reciepted as advised by MP finance advance prepayment #21943.61,PL4 0YU
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,WESTERN POWER DISTRIBUTION (MIDLANDS) T/A WPD MIDLANDS NETWORKS SERVICES LTD CIS,604030,4250.63,re- reciepted as advised by MP finance advance prepayment #3795.21,PL4 0YU
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,WESTERN POWER DISTRIBUTION (MIDLANDS) T/A WPD MIDLANDS NETWORKS SERVICES LTD CIS,604031,186362.82,re- reciepted as advised by MP finance advance prepayment #166395.38,PL4 0YU
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,WESTERN POWER DISTRIBUTION (MIDLANDS) T/A WPD MIDLANDS NETWORKS SERVICES LTD CIS,604032,99044.12,re- reciepted as advised by MP finance advance prepayment #88432.25,PL4 0YU
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,WESTERN POWER DISTRIBUTION (MIDLANDS) T/A WPD MIDLANDS NETWORKS SERVICES LTD CIS,604033,35207.13,re- reciepted as advised by MP finance advance prepayment #31434.94,PL4 0YU
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,MAJOR PROJECTS,WESTERN POWER DISTRIBUTION (MIDLANDS) T/A WPD MIDLANDS NETWORKS SERVICES LTD CIS,604036,71309,re- reciepted as advised by MP finance advance prepayment #63668.75,PL4 0YU
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604075,4906.78,Apps and Certs Receipt - APC45958,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604075,9795.07,Apps and Certs Receipt - APC45958,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604075,12756.96,Apps and Certs Receipt - APC45958,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604082,387563.03,Apps and Certs Receipt - APC46001,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604084,2627.33,Apps and Certs Receipt - APC46001,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604084,4032.93,Apps and Certs Receipt - APC46001,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,516506,-3248.24,Apps and Certs Receipt - APC13243,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,521540,-4110.04,Apps and Certs Receipt - APC17448,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,600221,-441.15,Apps and Certs Receipt - APC43459,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,600221,-5033.73,Apps and Certs Receipt - APC43459,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,601966,-3219.84,Apps and Certs Receipt - APC45248,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604023,16223.39,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604097,556553.23,Apps and Certs Receipt - APC47265,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,151643.14,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,585.82,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,24147.78,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,2369.76,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604122,92.87,Apps and Certs Receipt - APC47851,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,TRANSPORT FOR GREATER MANCHESTER,604051,608.56,Site 763 Hollingwood Av Repairs to Traffic Signals 27.06.13,M60 1HX
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,604061,28531.12,Apps and Certs Receipt - APC47324,OX4 4DQ
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,601246,-39732.55,Apps and Certs Receipt - APC44462,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,601247,-57561.14,Apps and Certs Receipt - APC44462,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604075,356145.5,Apps and Certs Receipt - APC45958,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604080,3072.7,Apps and Certs Receipt - APC46040,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604083,97414.15,Apps and Certs Receipt - APC46001,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604084,1452955.11,Apps and Certs Receipt - APC46001,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,604089,233392.43,Apps and Certs Receipt - APC47102,BS32 4SR
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,542630,-7.2,Apps and Certs Receipt - APC41199,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,602031,-742.93,Apps and Certs Receipt - APC45623,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,602033,-3082.08,Apps and Certs Receipt - APC45623,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,602034,-3448.04,Apps and Certs Receipt - APC45623,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,602038,-40072.15,Apps and Certs Receipt - APC45623,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604020,2531.09,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604023,21621.34,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604025,2156.49,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604097,1243392.91,Apps and Certs Receipt - APC47265,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604101,1030379.76,Apps and Certs Receipt - APC47382,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604102,663561.98,Apps and Certs Receipt - APC47382,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604103,9497.43,Apps and Certs Receipt - APC47382,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604105,33586.03,Apps and Certs Receipt - APC47382,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604106,15511.84,Apps and Certs Receipt - APC47382,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604108,60338.35,Apps and Certs Receipt - APC47382,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604110,211346.13,Apps and Certs Receipt - APC47382,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604111,749.53,Apps and Certs Receipt - APC47382,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604112,4945.26,Apps and Certs Receipt - APC47382,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Structures - Capital,MAJOR PROJECTS,BAM NUTTALL LIMITED,604119,50000,invoice No400133018 Surtees Bridge final Payment BAM Nuttall,GU15 3XW
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604075,118902.62,Apps and Certs Receipt - APC45958,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ATKINS SKANSKA JV,604084,553064.77,Apps and Certs Receipt - APC46001,BS11 9FB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,542630,-1032.72,Apps and Certs Receipt - APC41199,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604020,647.89,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604021,4012.26,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604022,946.51,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604023,43898.13,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604025,8243.92,Apps and Certs Receipt - APC46127,M2 5JB
Department For Transport,Highways Agency,07/06/2013,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,NETWORK RAIL,604113,11758.69,Huntingdon Railway Viaduct Contingency Interim No. 40,SN1 1GW
Department For Transport,Highways Agency,07/06/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,604065,6935.57,"2AMINE,M1J25-28,4026A3,3977A4,no comms,internal comms;#0362removed#0390;0444by #0612",HP19 8BP
Department For Transport,Highways Agency,07/06/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,VARIABLE MESSAGE SIGNS LTD,604091,6862,For Swap Out 50 M25 15/5/13,NE31 2JZ
Department For Transport,Highways Agency,07/06/2013,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2000946864,1964.42,HO MAY 2013,SN5 6PS
Department For Transport,Highways Agency,07/06/2013,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2000950142,9767.98,EAST MIDS MAY 2013,SN5 6PS
Department For Transport,Highways Agency,07/06/2013,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2000950143,6619.67,EAST MIDLANDS MAY 13,SN5 6PS
Department For Transport,Highways Agency,07/06/2013,TOS operational Vehicle fuel,TRAFFIC MANAGEMENT DIRECTORATE,ALLSTAR BUSINESS SOLUTIONS,P2000950144,1311.76,DARTFORD CROSSING MAY 13,SN5 6PS
Department For Transport,Highways Agency,07/06/2013,WM - Winter Maintenance,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,604097,113290.85,Apps and Certs Receipt - APC47265,M2 5JB
Department For Transport,Highways Agency,10/06/2013,CM - External Technical Consultant Costs,NETWORK DELIVERY & DEVELOPMENT,TREASURY SOLICITOR,533617,-943.38,"doc 410856 knockhall road, greenhithe, kent (pin 523821)",WC2B 4TS
Department For Transport,Highways Agency,10/06/2013,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,604172,14559.39,#,BS32 4SR
Department For Transport,Highways Agency,10/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,600207,-21664.21,Apps and Certs Receipt - APC43356,BS32 4SR
Department For Transport,Highways Agency,10/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,604172,1704.94,#,BS32 4SR
Department For Transport,Highways Agency,10/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,604162,4618421.47,BSC June 2013,GU14 7BF
Department For Transport,Highways Agency,10/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,604156,7495.94,"Invoice 1199 = Area 6 ASC Assessment Project Delivery Support, For professional fees up to 31/05/2013, xxxxxxx",GU2 7AR
Department For Transport,Highways Agency,10/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,601444,-1558.72,NRTS 2 Preparation costs (Apr),OL1 9LH
Department For Transport,Highways Agency,10/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,604154,13993,"HA Secondments, Lump Sum Charges for xxxxxxx time for May 13.",OL1 9LH
Department For Transport,Highways Agency,10/06/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,604167,2044.08,"Professional fees for services rendered in accordance with Area 3, 8 & 6 ASC Document Support Work Package Ref 1113, Area 6 Tender Facilitation, March to May 2013",NE1 3PL
Department For Transport,Highways Agency,10/06/2013,Contractor Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,604136,6500,Work carried out in May 2013,KT18 5BW
Department For Transport,Highways Agency,10/06/2013,Electricity,FINANCE & BUSINESS SERVICES,EDF ENERGY (NON CIS) CHARGES,604168,4215.85,"The Cube, Level 10 - Electricity charge for 01/05/2013 to 31/05/2013. Invoice number 0038.",RH10 1TX
Department For Transport,Highways Agency,10/06/2013,ICT Consultancy Costs,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,604179,5076.12,SHARE BAU Services April 2013,WV10 6UH
Department For Transport,Highways Agency,10/06/2013,ICT Consultancy Costs,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,604181,5076.12,SHARE BAU Services May 2013,WV10 6UH
Department For Transport,Highways Agency,10/06/2013,ICT Software Maintenance,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,603260,22852.56,Apps Service Bundle May 2013 spend,WV10 6UH
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,EXPERIS LIMITED,604133,2063.4,xxxxxxxw/e 7th June 2013,EC1R 3DR
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,604130,10550.6,xxxxxxx 05/05/13 - 02/06/13 Invoice LA237121,ST1 5UB
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,SPRING TECHNOLOGY STAFFING SERVICES LTD,604134,895.08,Temporary worker - xxxxxxx - w/e 3/6/2013 for 5 days = #745.90,B37 7YE
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,COMMERCIAL & PROCUREMENT,SPRING TECHNOLOGY STAFFING SERVICES LTD,604137,716.06,Temporary worker -  xxxxxxx - w/e 26/5/2013 - 4 days = #596.72,B37 7YE
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,HAYS SPECIALIST RECRUITMENT LIMITED,604131,513.01,Invoice 1003263125 Doc 422453 w/e 31st May 2013,KT3 4JQ
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED,604175,2880,xxxxxxx W.E 9/06/2013 5 DAYS AT 480,SL1 1DB
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,MAJOR PROJECTS,MACE LTD,604143,7208.75,xxxxxxx fees May 2013,NW1 0LF
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,MAJOR PROJECTS,MACE LTD,604144,516.6,xxxxxxx expenses May 2013,NW1 0LF
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,MAJOR PROJECTS,NETWORKERS INTERNATIONAL PLC,604153,1916.69,C O E Inv Nr:411051498  Inv Date:06 June 13 Professional Services for xxxxxxx - W/E 02 June 13,BR1 1HP
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,MAJOR PROJECTS,NETWORKERS INTERNATIONAL PLC,604155,2395.86,C O E Inv Nr:411051498  Inv Date:06 June 13 Professional Services for xxxxxxx - P/E 19 May 13,BR1 1HP
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,EXPERIS LIMITED,604138,4789.2,xxxxxxx Receipt for invoices from 3/6/13 to 30/6/13,EC1R 3DR
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,EXPERIS LIMITED,604149,5502.48,#,EC1R 3DR
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,EXPERIS LIMITED,604173,1906.46,#,EC1R 3DR
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,EXPERIS LIMITED,604174,2451.17,#,EC1R 3DR
Department For Transport,Highways Agency,10/06/2013,Non Civil Servant HA Staff,NETWORK DELIVERY & DEVELOPMENT,JACOBS UK LTD,604176,7339.13,Technical Support for NDD SE - xxxxxxx - 27/04/13 to 31/05/13,G2 7HX
