UK in Context CSVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2015-2019 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues, which refers to letter mail only. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. All figures are nominal and are displayed at 2014 currency exchange ratesNote: Postal revenues are for our 18 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,2014,,YoY,CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.11 Which, if any, is your main source for the following information? Celebrity news / gossip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,TV,Internet,Newspaper/ magazine,Radio,Other people,Not interested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,13,28,8,3,9,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,13,24,10,5,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,21,19,8,4,9,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,15,29,10,7,12,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,16,25,7,4,11,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,20,35,3,2,2,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,15,25,8,4,10,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,21,18,7,4,12,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,7,24,13,3,9,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devices used to access government services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of all respondents who access government services online ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents who access government services online, UK= 608, FRA= 631, GER=516, ITA= 719, USA= 467, JPN= 352, AUS= 667, ESP= 691, SWE= 638Q.9a  Which, if any, of the following internet activities do you use each of your devices for: accessing government services e.g. local and/or national websites?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop/desktop/notebook,86,91,88,83,85,91,88,85,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile phone/smartphone,19,14,17,30,20,22,21,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tablet,16,11,14,21,14,12,18,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connected TV,5,3,2,4,6,3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perceived degree of accuracy of websites found via a search engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of all respondents who ever use a search engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents who ever use a search engine, UK=983, FRA=976, GER=995, ITA=991, USA=963, JPN=948, AUS=975, ESP=985, SWE=982Q.11a When you use a search engine to find information, you enter a query in the search box and the search engine will then show some links to websites in the results pages.  Which of these is closest to your opinion about the level of accuracy of the information detailed in the websites that appear on the results pages?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Website information will be accurate,Some websites will have accurate information and some will not,"Don't think about it, just go to sites I like the look of",Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,26,61,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,21,67,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,25,53,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,35,60,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,26,61,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,14,75,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,21,64,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,35,54,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,12,66,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attitudes to online security: I am happy to provide personal information online to companies as long as I get what I want,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of all respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September – October 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004.Q.31 How much do you agree or disagree with the statement “I am happy to provide personal information online to companies as long as I get what I want”?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,Don’t do this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,3,15,30,25,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,5,24,31,23,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,7,27,34,19,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,5,23,44,17,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,13,26,31,13,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,8,32,36,15,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,5,28,19,29,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,6,24,35,13,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,8,31,36,16,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attitudes to online security: I worry that people other than those I have chosen to, could access my personal photos, information etc. online.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of all respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004. Q.31 How much do you agree or disagree with the statement “I worry that people other than those I have chosen to, could access my personal photos, information etc. online”?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,Don’t do this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,13,29,34,14,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,30,36,24,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,18,34,31,10,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,13,36,35,7,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,21,33,28,8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,24,36,29,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,23,39,17,13,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,19,31,29,10,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,14,37,31,12,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
