Newcastle City Council Invoices over £250 paid in September 2013,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,
Adult and Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,02/09/2013,CRISIS UK,5987171,Revenue,1EA65,Skills For Jobs Project,312.50 ,,,,,,,,,
Adult and Culture,AS - Learning City         ,Supplies & Services,25/09/2013,CROCODILE MOBILE CRECHE,6007905,Revenue,1EA39,Family Literacy & Numeracy,405.00 ,,,,,,,,,
Adult and Culture,AS - Learning City         ,Supplies & Services,25/09/2013,CROCODILE MOBILE CRECHE,6007906,Revenue,1EA39,Family Literacy & Numeracy,270.00 ,,,,,,,,,
Children's Services,Educ Willow Ave            ,Supplies & Services,03/09/2013,CROCODILE MOBILE CRECHE,5989581,Revenue,1E465,Willow Avenue Community C C P,729.75 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,17/09/2013,CROMWELL POLYTHENE LTD,6001539,Revenue,1KW29,Localised Working West,"1,160.70 ",,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,04/09/2013,CROMWELL POLYTHENE LTD,5991133,Revenue,3KIMD,Other Stores Stock Account,"2,079.60 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,04/09/2013,CROMWELL POLYTHENE LTD,5991242,Revenue,3KIMF,Highways Stock Account,866.50 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,CROSSINGS,6003947,Revenue,1FC40,Cee Central Team,"3,190.46 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,CROSSINGS,6003947,Revenue,1DF03,Arts Contribution,"2,499.77 ",,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/09/2013,CROSSLING LTD,6003692,Revenue,3KIMD,Other Stores Stock Account,391.05 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/09/2013,CROSSLING LTD,6003715,Revenue,3KIMD,Other Stores Stock Account,278.77 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/09/2013,CROSSLING LTD,6004301,Revenue,1KR5E,Gas Serv East,282.00 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/09/2013,CROSSLING LTD,6005078,Revenue,1KVWC,Minor Works Contracts,656.00 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/09/2013,CROSSLING LTD,6005083,Revenue,3KIMD,Other Stores Stock Account,367.78 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/09/2013,CROSSLING LTD,6005095,Revenue,3KIMD,Other Stores Stock Account,585.25 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,03/09/2013,CROSSLING LTD,5948332,Revenue,3KIMD,Other Stores Stock Account,252.81 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,03/09/2013,CROSSLING LTD,5948734,Revenue,1KR1E,Response East,575.40 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,03/09/2013,CROSSLING LTD,5976157,Revenue,3KIMD,Other Stores Stock Account,297.13 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,30/09/2013,CROSSLING LTD,6011187,Revenue,3KIMD,Other Stores Stock Account,305.10 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,05/09/2013,CROSSLING LTD,5991007,Revenue,3KIMD,Other Stores Stock Account,348.50 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,05/09/2013,CROSSLING LTD,5991037,Revenue,3KIMD,Other Stores Stock Account,457.44 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,25/09/2013,CROSSLING LTD,6003689,Revenue,3KIMD,Other Stores Stock Account,522.00 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,25/09/2013,CROSSLING LTD,6003710,Revenue,3KIMD,Other Stores Stock Account,441.20 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,25/09/2013,CROSSLING LTD,6003718,Revenue,1KR8L,Wide District Heating,390.00 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,03/09/2013,CROSSLING LTD,5886487,Revenue,3KIMD,Other Stores Stock Account,300.63 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30/09/2013,CROSSLING LTD,6005066,Revenue,3KIMD,Other Stores Stock Account,409.00 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30/09/2013,CROSSLING LTD,6011229,Revenue,3KIMD,Other Stores Stock Account,310.20 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,05/09/2013,CROSSLING LTD,5991015,Revenue,3KIMD,Other Stores Stock Account,449.60 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,05/09/2013,CROSSLING LTD,5991022,Revenue,3KIMD,Other Stores Stock Account,420.20 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,05/09/2013,CROSSLING LTD,5990968,Revenue,1V105,Supervision & Enforcement,660.80 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,03/09/2013,CROSSLING LTD,5979079,Revenue,3KIMF,Highways Stock Account,538.28 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,30/09/2013,CROSSLING LTD,6011193,Revenue,3KIMF,Highways Stock Account,"1,004.33 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,05/09/2013,CROSSLING LTD,5990972,Revenue,3KIMF,Highways Stock Account,"1,368.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,05/09/2013,CROSSLING LTD,5990973,Revenue,3KIMF,Highways Stock Account,465.26 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,05/09/2013,CROSSLING LTD,5990974,Revenue,3KIMF,Highways Stock Account,385.29 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,05/09/2013,CROSSLING LTD,5990980,Revenue,3KIMF,Highways Stock Account,380.08 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,05/09/2013,CROSSLING LTD,5991032,Revenue,3KIMF,Highways Stock Account,329.04 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,05/09/2013,CROSSLING LTD,5991040,Revenue,3KIMF,Highways Stock Account,300.30 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,05/09/2013,CROSSLING LTD,5991044,Revenue,1KEHA,Arbor Team,294.84 ,,,,,,,,,
Environment & Regeneration,Cityworks East End Pool    ,Supplies & Services,19/09/2013,CRYO SERVICE LTD,6003065,Revenue,1KL1D,East End Pool,490.30 ,,,,,,,,,
Environment & Regeneration,Cityworks Gosforth         ,Supplies & Services,17/09/2013,CRYO SERVICE LTD,6001532,Revenue,1KL1G,Gosforth Pool,297.80 ,,,,,,,,,
Environment & Regeneration,Cityworks Parks & C/side   ,Supplies & Services,27/09/2013,CSOLUTIONS NORTH EAST LTD,6003019,Revenue,1KL79,Hoppings,"2,406.43 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,CSV LOCAL VOLUNTEERING,6003946,Revenue,1FC40,Cee Central Team,"11,032.84 ",,,,,,,,,
Chief Executive's,CD - Exchequer Payments          ,Supplies & Services,17/09/2013,CUMMINS ALLISON LTD,6000141,Revenue,1CA01,Coin Room,"1,580.00 ",,,,,,,,,
Adult and Culture,Social Services                        ,Supplies & Services,30/09/2013,CURB OFFICE LTD,6012562,Revenue,1ML09,PH - Drugs and alcohol,420.00 ,,,,,,,,,
Adult and Culture,Social Services                        ,Supplies & Services,30/09/2013,CURB OFFICE LTD,6012595,Revenue,1ML09,PH - Drugs and alcohol,500.00 ,,,,,,,,,
HRA,HRA C.C.A.S.               ,Supplies & Services,10/09/2013,CUSTOM GROUP LTD,5992398,Revenue,1HJ01,HRA Sheltered HSG-Citywide,282.85 ,,,,,,,,,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,25/09/2013,D R SUMMERS PROPERTY MAINTENANCE,6006110,Revenue,1MG60,Ind Day Care Elderly,400.00 ,,,,,,,,,
Adult and Culture,Adult Serv Occ Therapy     ,Supplies & Services,25/09/2013,D R SUMMERS PROPERTY MAINTENANCE,6006113,Revenue,1MG60,Ind Day Care Elderly,520.00 ,,,,,,,,,
Adult and Culture,Adult Serv Occ Therapy     ,Transport,25/09/2013,D R SUMMERS PROPERTY MAINTENANCE,6006149,Revenue,1MG70,Equipt & Adaptations Elderly,450.00 ,,,,,,,,,
Adult and Culture,Adult Serv Occ Therapy     ,Transport,25/09/2013,D R SUMMERS PROPERTY MAINTENANCE,6006169,Revenue,1MG60,Ind Day Care Elderly,320.00 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,D2 YOUTH ZONE LTD,6003924,Revenue,1EY10,Youth Management,"6,862.31 ",,,,,,,,,
Chief Executive's,CD - Finance & Resources NOR           ,Supplies & Services,03/09/2013,DAC BEACHCROFT CLAIMS LTD,5989908,Revenue,1DY50,Misc Corporate Estates,500.00 ,,,,,,,,,
Children's Services,Schools Payment Agency                 ,Supplies & Services,26/09/2013,DAISY COMMUNICATIONS LTD,6008904,Revenue,1E097,Bridgewater Centre,272.03 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,DALTONS CARE HOME,6006752,Revenue,1MK20,Ind Res Care LD,"12,600.00 ",,,,,,,,,
Chief Executive's,CD - Legal Services              ,Supplies & Services,19/09/2013,DATASTOR,6003043,Revenue,1CM00,IT Management & Admin,822.88 ,,,,,,,,,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,23/09/2013,DATASTOR,6004988,Revenue,1CM00,IT Management & Admin,497.46 ,,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,26/09/2013,DAVID GRAY SOLICITORS LLP,6010065,Revenue,4WX32,Patients Property Suspense,"9,245.42 ",,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,16/09/2013,DAWSON RENTALS BUS & COACH LTD,6000736,Revenue,1KESY,Fleet Services Hire office,"2,139.00 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,DAYBREAK,6003979,Revenue,1MK60,Ind Day Care LD,360.00 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,DAYBREAK,6003980,Revenue,1MK60,Ind Day Care LD,326.20 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,DEAFLINK,6003953,Revenue,1MH90,Grants To Vol Orgs PD,"8,006.18 ",,,,,,,,,
Environment & Regeneration,Cityworks  Eldon           ,Supplies & Services,27/09/2013,DEBICA SARKAR,6002103,Revenue,1KL2B,Eldon Leisure,459.00 ,,,,,,,,,
Environment & Regeneration,Cityworks  Eldon           ,Supplies & Services,25/09/2013,DEBICA SARKAR,6007870,Revenue,1KL2B,Eldon Leisure,369.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,DEFOE  COURT CARE HOME,6006720,Revenue,1MG20,Ind Res Care Elderly,-611.32 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,DEFOE  COURT CARE HOME,6006720,Revenue,1MG20,Ind Res Care Elderly,"1,885.76 ",,,,,,,,,
Children's Services,Educ Fossway S/Start       ,Supplies & Services,03/09/2013,DELL COMPUTER CORPORATION LTD,5982843,Revenue,1E711,Walkergate CC-PREV SF EEC,509.00 ,,,,,,,,,
Chief Executive's,CD - Accountancy                 ,Capital Expenditure,12/09/2013,DELOITTE & TOUCHE,5999084,Capital,2N401,Capital General,"3,000.00 ",,,,,,,,,
Chief Executive's,CD - Accountancy                 ,Supplies & Services,10/09/2013,DELOITTE & TOUCHE,5995264,Revenue,1FE06,External audit Fees,"107,147.00 ",,,,,,,,,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,23/09/2013,DELTA ONE SECURITY SERVICES LTD,6005238,Revenue,1KKU2,Porters,444.65 ,,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,27/09/2013,DEMENTIA CARE PARTNERSHIP,6007776,Revenue,4WX32,Patients Property Suspense,"1,786.59 ",,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,27/09/2013,DEMENTIA CARE PARTNERSHIP,6007777,Revenue,4WX32,Patients Property Suspense,"1,682.22 ",,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,17/09/2013,DEMENTIA CARE PARTNERSHIP,6000121,Revenue,4WX32,Patients Property Suspense,"3,608.24 ",,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,23/09/2013,DEMENTIA CARE PARTNERSHIP,6002558,Revenue,4WX32,Patients Property Suspense,"3,596.05 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,05/09/2013,DEMENTIA CARE PARTNERSHIP,5992213,Revenue,1MX51,SP Block Subsidy,"39,062.40 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,DEMENTIA CARE PARTNERSHIP,5989503,Revenue,1MG50,Ind Home Spot Pur Elderly,"41,287.68 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,DEMENTIA CARE PARTNERSHIP,5989503,Revenue,1MH50,Ind Home Spot Pur PD,"1,474.56 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,DEMENTIA CARE PARTNERSHIP,5989503,Revenue,1MM50,Ind Home - Spot Pur MH,"1,474.56 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,DEMENTIA CARE PARTNERSHIP,5989546,Revenue,1MG50,Ind Home Spot Pur Elderly,"11,385.08 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,DEMENTIA CARE PARTNERSHIP,5989546,Revenue,1MH50,Ind Home Spot Pur PD,"5,005.34 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,DEMENTIA CARE PARTNERSHIP,5989546,Revenue,1MK54,Dom Care Own Tenancy LD,97.52 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,DEMENTIA CARE PARTNERSHIP,5989546,Revenue,1MM50,Ind Home - Spot Pur MH,390.08 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,DEMENTIA CARE PARTNERSHIP,5990169,Revenue,1MG60,Ind Day Care Elderly,"15,104.60 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2013,DEMENTIA CARE PARTNERSHIP,6012216,Revenue,1MG60,Ind Day Care Elderly,"15,445.02 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,DENE PARK HOUSE,5995519,Revenue,1MG10,Ind Nursing Care Elderly,"-5,207.03 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,DENE PARK HOUSE,5995519,Revenue,1MG20,Ind Res Care Elderly,"-3,386.55 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,DENE PARK HOUSE,5995519,Revenue,1MG10,Ind Nursing Care Elderly,"14,451.26 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,DENE PARK HOUSE,5995519,Revenue,1MG20,Ind Res Care Elderly,"10,920.42 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,DENE PARK HOUSE,5995519,Revenue,3WH71,Free Nursing Care Self Funder,"1,756.64 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,DENE PARK HOUSE,5995519,Revenue,3WH77,Free Nursing Care Com Care,"3,811.27 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,DENE PARK HOUSE,5995519,Revenue,3WH78,Fre Nursing Care Out of Area,439.16 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,DENE PARK HOUSE,5995519,Revenue,3WH93,Continuing Care,"9,815.50 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,DENE PARK HOUSE,5995571,Revenue,3WH71,Free Nursing Care Self Funder,"1,317.48 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,DENE PARK HOUSE,5995571,Revenue,3WH78,Fre Nursing Care Out of Area,439.16 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,DENECROFT,5995506,Revenue,1MG20,Ind Res Care Elderly,"-6,467.27 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,DENECROFT,5995506,Revenue,1MG20,Ind Res Care Elderly,"17,683.71 ",,,,,,,,,
Chief Executive's,Council Tax & NNDR                     ,Supplies & Services,12/09/2013,DENEVIEW PROPERTIES LTD,5999109,Revenue,3RC06,Council Tax Refunds Suspense,366.73 ,,,,,,,,,
Children's Services,Invoice,Supplies & Services,25/09/2013,DENNHOFER WINES LTD,6007891,Revenue,1FN02,Mansion House,418.94 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,17/09/2013,DENNIS EAGLE LTD,5999012,Revenue,3KES1,Fleetmaster Stores Account,493.74 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,20/09/2013,DENNIS EAGLE LTD,6004554,Revenue,1KESA,Heavy Workshop Routine Repair,294.38 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,20/09/2013,DENNIS EAGLE LTD,6004555,Revenue,1KESA,Heavy Workshop Routine Repair,491.81 ,,,,,,,,,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,20/09/2013,DENTON BURN METHODIST CHURCH,6003001,Revenue,1KN20,Benwell & Scotswood Ward,"2,810.00 ",,,,,,,,,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,09/09/2013,DENTON PARK HOUSE TENNANTS ASS,5993885,Revenue,1KN50,Denton Ward,400.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,23/09/2013,DENTON TRAVEL,6005352,Revenue,1E212,Transport Special,360.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,26/09/2013,DENTON TRAVEL,6008799,Revenue,1E212,Transport Special,"1,140.00 ",,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,26/09/2013,DENTON TRAVEL,6008800,Revenue,1E212,Transport Special,500.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,26/09/2013,DENTON TRAVEL,6008801,Revenue,1E212,Transport Special,368.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,26/09/2013,DENTON TRAVEL,6008802,Revenue,1E212,Transport Special,460.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,26/09/2013,DENTON TRAVEL,6008803,Revenue,1E212,Transport Special,468.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,26/09/2013,DENTON TRAVEL,6008804,Revenue,1E212,Transport Special,624.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,26/09/2013,DENTON TRAVEL,6008806,Revenue,1E212,Transport Special,528.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,26/09/2013,DENTON TRAVEL,6008807,Revenue,1E212,Transport Special,572.40 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,26/09/2013,DENTON TRAVEL,6008808,Revenue,1E212,Transport Special,486.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,26/09/2013,DENTON TRAVEL,6008809,Revenue,1E212,Transport Special,540.00 ,,,,,,,,,
