Data is Unweighted,,,Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,How satisfied are you with each of the following?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do the following statements apply to you and your job?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This sheet contains questions relating to: job satisfaction,,,a) The recognition I get for good work,,,,,,b) The support I get from my immediate manager,,,,,,c) The freedom I have to choose my own method of working,,,,,,d) The support I get from my work colleagues,,,,,,e) The amount of responsibility I am given,,,,,,f) The opportunities I have to use my skills,,,,,,g) The extent to which my organisation values my work,,,,,,h) My level of pay,,,,,,a) I am satisfied with the quality of care I give to patients / service users,,,,,,,b) I feel that my role makes a difference to patients / service users,,,,,,,c) I am able to deliver the patient care I aspire to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAD,Bradford District Care Trust,Q32,5,14,25,47,9,448,3,10,18,43,27,449,2,8,18,51,21,449,2,3,12,54,29,446,1,8,14,59,19,446,3,8,14,57,18,447,7,16,31,37,10,449,8,18,24,43,7,449,1,5,6,36,33,19,442,1,2,6,38,44,10,441,2,10,12,32,23,21,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJX,Calderstones Partnership NHS Foundation Trust,Q31,8,16,24,43,9,350,4,11,16,41,28,348,3,10,26,43,18,349,3,6,14,51,27,350,4,9,16,54,17,349,3,11,19,52,15,350,11,21,24,34,9,350,13,21,22,38,6,349,1,4,6,32,40,18,349,1,2,12,34,39,12,349,2,7,15,29,23,23,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT1,Cambridgeshire and Peterborough NHS Foundation Trust,Q35,7,19,23,44,7,441,5,9,15,45,26,439,2,12,21,46,19,439,1,5,13,54,27,441,3,9,15,53,19,440,5,13,15,49,18,440,14,25,27,26,7,439,12,22,28,35,4,436,3,9,7,40,26,15,438,2,2,7,44,39,6,438,6,17,13,29,16,18,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF,Camden and Islington NHS Foundation Trust,Q36,6,15,28,43,8,361,4,5,19,48,24,362,3,7,26,48,16,361,1,6,18,61,15,362,4,9,22,53,12,363,6,9,19,53,12,361,15,20,28,31,6,363,18,27,28,24,3,360,3,10,9,34,30,14,358,1,3,8,42,37,8,360,6,14,12,30,23,15,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV3,Central and North West London NHS Foundation Trust,Q36,7,12,28,43,10,378,5,7,17,43,27,379,4,9,21,47,18,379,1,4,16,56,24,380,2,5,17,59,17,378,3,6,18,55,18,379,8,13,30,38,12,379,14,25,24,30,6,378,2,5,7,35,40,11,376,1,1,6,37,49,7,379,2,9,11,33,30,14,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXA,Cheshire and Wirral Partnership NHS Foundation Trust,Q31,5,12,29,44,10,415,3,7,18,45,27,416,3,6,20,51,20,416,1,3,11,52,33,417,2,4,14,64,16,417,2,7,16,57,17,416,9,16,28,37,9,417,5,20,26,42,6,416,2,5,9,38,29,18,417,1,2,6,39,40,11,417,3,12,12,32,19,22,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ8,Cornwall Partnership NHS Foundation Trust,Q39,4,15,28,43,10,392,3,8,13,49,27,391,2,5,17,56,21,391,1,3,8,55,32,391,1,4,13,61,21,390,3,9,15,54,20,391,9,21,28,35,7,392,8,24,29,34,6,391,2,7,10,35,28,18,389,1,1,10,41,34,13,389,3,13,16,29,17,22,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYG,Coventry And Warwickshire Partnership NHS Trust,Q34,7,15,26,44,8,408,6,10,16,44,24,410,3,8,22,47,21,410,2,6,14,55,22,411,2,7,17,58,17,411,3,11,16,51,18,407,7,19,30,36,8,411,10,20,27,39,4,406,1,4,6,40,34,14,409,1,1,5,45,39,8,409,2,8,10,41,22,17,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNN,Cumbria Partnership NHS Foundation Trust,Q31,7,19,28,39,6,425,8,13,17,43,19,425,3,9,23,53,13,426,1,4,13,50,32,424,2,7,15,62,15,425,3,8,17,56,15,424,12,23,32,28,5,424,9,22,26,39,4,423,3,9,8,38,31,10,424,1,1,5,46,40,7,424,5,15,14,31,21,15,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXM,Derbyshire Healthcare NHS Foundation Trust,Q33,4,16,24,45,11,376,3,11,17,40,28,378,2,6,19,51,22,377,2,5,12,52,30,379,2,7,14,57,21,378,1,10,16,54,19,376,8,20,29,33,10,375,9,25,24,37,5,374,2,5,7,35,32,19,377,1,1,7,42,39,9,378,4,10,11,30,23,23,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWV,Devon Partnership NHS Trust,Q39,6,16,21,45,11,431,3,4,14,43,35,431,2,10,19,49,20,429,2,4,10,53,32,430,2,6,16,59,18,430,4,14,16,50,16,430,16,20,27,28,8,430,11,24,23,34,7,430,2,9,8,40,24,18,427,1,3,9,41,35,10,428,5,14,18,29,15,20,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDY,Dorset Healthcare University NHS Foundation Trust,Q39,5,16,27,42,9,412,4,11,17,48,20,414,2,7,20,55,16,414,1,5,12,58,25,411,2,8,14,62,15,412,2,11,19,55,13,412,12,19,30,30,9,411,11,24,28,33,4,409,2,9,7,40,31,12,413,0,1,8,45,38,7,412,5,14,13,32,20,16,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYK,Dudley And Walsall Mental Health Partnership NHS Trust,Q34,4,13,25,49,9,390,2,6,16,47,28,392,2,3,21,54,19,390,1,3,15,51,31,393,1,4,16,59,20,392,1,7,16,58,18,392,7,16,32,36,8,391,5,18,27,44,5,392,1,6,7,35,31,20,393,1,1,6,44,37,11,393,2,10,11,34,20,24,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWK,East London NHS Foundation Trust,Q36,6,12,22,46,13,298,4,8,11,46,31,300,3,7,20,46,23,297,2,3,14,54,27,301,1,8,14,59,18,299,3,8,14,56,20,298,10,13,25,40,12,297,11,22,30,33,4,297,1,6,7,36,37,13,302,0,1,6,36,49,8,300,2,10,11,35,26,15,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXV,Greater Manchester West Mental Health NHS Foundation Trust,Q31,8,13,25,44,10,415,4,7,15,41,33,415,2,11,21,45,21,416,1,4,13,54,28,416,2,7,18,55,18,414,4,8,18,53,17,414,9,15,31,34,10,413,8,24,28,35,5,414,2,2,7,38,32,20,415,0,1,8,45,34,11,416,2,10,12,35,19,23,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWR,Hertfordshire Partnership NHS Foundation Trust,Q35,7,19,28,38,8,425,5,11,17,42,25,424,3,11,21,48,17,424,1,5,16,52,25,425,1,8,19,58,14,427,3,9,19,52,16,426,10,20,31,32,7,426,13,28,27,27,5,427,0,3,7,38,37,15,423,0,1,7,40,44,8,424,1,11,13,34,25,16,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV9,Humber NHS Foundation Trust,Q32,5,16,26,44,8,438,3,7,20,44,26,441,2,6,17,54,21,438,1,5,13,53,29,437,1,6,16,58,18,436,2,10,16,54,19,440,10,18,31,30,11,440,9,16,23,46,6,439,1,6,8,38,32,14,440,1,2,8,44,37,7,441,3,12,14,34,18,18,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1F3,Isle of Wight NHS Primary Care Trust (mental health sector),Q38,4,14,25,46,10,205,3,9,19,43,26,207,3,6,24,52,15,208,1,5,16,49,28,208,1,6,13,64,16,207,2,9,17,56,17,207,11,13,33,36,8,206,12,20,21,40,7,206,2,6,6,47,34,5,207,1,1,6,46,43,3,208,4,10,10,47,22,8,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXY,Kent And Medway NHS And Social Care Partnership Trust,Q37,9,18,23,40,10,382,6,8,17,40,29,383,2,10,22,50,16,378,2,4,14,51,28,382,2,8,16,57,17,381,3,12,19,51,15,380,16,24,27,26,7,378,12,30,24,29,5,378,2,9,9,34,29,17,380,1,4,8,39,35,12,382,5,14,15,31,15,20,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW5,Lancashire Care NHS Foundation Trust,Q31,3,14,21,51,11,398,2,8,15,48,27,399,3,9,16,53,19,399,1,3,12,52,33,399,1,6,15,60,18,399,2,9,15,58,16,398,6,17,30,39,8,397,6,20,26,42,6,398,2,4,5,38,40,11,398,2,0,5,41,46,6,397,4,8,11,36,28,13,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGD,Leeds and York Partnership NHS Foundation Trust,Q32,7,18,24,39,12,378,4,8,15,43,30,379,2,11,18,50,19,376,1,6,12,53,28,379,2,6,18,57,17,380,3,13,15,54,15,380,13,21,24,33,8,378,8,21,25,40,7,379,1,6,9,35,30,18,378,1,3,10,44,35,7,377,3,11,16,31,20,20,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT5,Leicestershire Partnership NHS Trust,Q33,6,16,28,40,10,409,6,10,15,48,21,405,3,6,18,53,20,405,1,3,13,57,26,407,3,8,16,56,17,409,3,10,15,56,15,409,10,18,31,33,9,408,9,24,25,36,6,405,3,8,9,37,29,16,407,1,1,9,45,37,7,406,3,15,13,31,17,20,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP7,Lincolnshire Partnership NHS Foundation Trust,Q33,8,21,23,37,10,406,6,10,16,43,25,406,3,11,19,48,19,405,2,4,15,49,30,406,4,9,16,53,18,403,4,9,17,55,16,404,17,21,29,26,8,402,8,20,26,38,8,403,1,9,8,32,29,20,403,1,2,8,41,36,11,403,6,14,13,25,19,24,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAE,Manchester Mental Health and Social Care Trust,Q31,9,16,24,39,12,360,7,8,17,39,30,358,3,7,16,54,20,357,2,5,17,51,25,355,3,8,19,54,17,357,5,15,15,49,16,358,16,19,28,29,9,359,11,22,20,39,8,361,3,7,8,33,31,18,359,1,2,8,44,36,10,357,5,12,12,28,20,23,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW4,Mersey Care NHS Trust,Q31,5,17,29,39,11,499,2,8,19,43,27,500,2,8,22,49,19,497,1,5,16,54,24,499,2,6,20,53,19,501,3,7,22,50,18,497,7,16,35,30,12,497,11,23,28,33,6,498,1,4,7,34,33,20,500,1,2,7,41,37,13,501,2,7,13,32,22,24,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMY,Norfolk and Suffolk NHS Foundation Trust,Q35,7,17,27,39,9,444,3,9,20,41,27,445,2,7,22,48,20,438,0,2,16,53,28,445,2,6,18,59,16,442,2,10,18,56,14,445,10,21,30,32,7,443,9,24,26,35,6,444,2,8,8,35,28,18,440,1,2,9,43,33,12,442,5,13,13,32,15,22,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT,North East London NHS Foundation Trust,Q36,6,12,33,42,7,295,3,8,20,45,24,295,2,6,20,54,18,296,1,3,12,59,24,296,2,10,18,58,13,296,3,13,19,52,14,295,8,17,37,32,5,294,8,23,31,33,5,295,2,3,6,33,40,15,293,1,0,8,36,43,11,294,3,7,12,29,29,20,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD,North Essex Partnership NHS Foundation Trust,Q35,6,14,26,41,13,395,4,9,16,43,28,394,3,6,19,50,23,398,1,3,13,55,27,395,2,8,13,60,17,397,3,11,16,54,16,397,8,18,27,36,10,395,12,25,24,33,5,395,1,5,7,35,30,22,396,1,2,6,40,37,14,397,2,10,10,34,18,26,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLY,North Staffordshire Combined Healthcare NHS Trust,Q34,4,16,24,47,9,373,3,9,14,48,26,374,2,6,22,51,19,372,1,2,14,57,26,373,1,7,16,61,15,374,4,9,19,55,14,371,9,20,32,31,7,371,5,18,25,44,7,369,1,3,8,35,34,19,374,1,2,6,39,40,13,374,2,9,15,31,20,24,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP1,Northamptonshire Healthcare NHS Foundation Trust,Q33,6,19,26,41,8,414,7,10,24,38,21,408,2,6,20,52,19,410,1,5,15,56,23,409,2,8,18,56,16,411,3,10,18,53,16,414,8,21,31,31,8,413,9,22,24,40,4,410,1,4,6,39,32,18,410,0,1,6,42,39,11,412,2,9,13,31,22,22,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX4,"Northumberland, Tyne and Wear NHS Foundation Trust",Q30,6,16,24,43,11,367,5,6,16,47,26,368,4,7,21,46,21,368,2,4,15,49,29,369,3,5,16,57,18,369,4,10,16,55,15,368,11,18,32,30,9,369,12,24,19,37,8,369,4,5,6,32,32,21,367,3,2,5,43,37,10,367,5,9,10,33,19,25,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHA,Nottinghamshire Healthcare NHS Trust,Q33,6,13,25,47,9,464,6,9,15,42,28,467,2,9,19,48,21,462,1,3,13,54,28,461,2,6,12,59,22,464,4,8,13,55,21,466,8,14,32,35,11,465,8,21,27,38,6,462,2,4,5,42,34,14,465,1,2,8,43,37,8,466,2,9,13,33,22,21,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNU,Oxford Health NHS Foundation Trust,Q38,4,13,28,46,9,430,3,9,18,43,26,431,1,5,22,55,16,432,0,3,14,57,26,430,1,8,13,64,15,431,3,9,16,59,13,430,7,19,32,33,9,431,9,27,26,34,4,429,1,7,9,43,25,15,428,0,1,7,48,36,8,430,3,14,13,35,14,21,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHX,Oxfordshire Learning Disability NHS Trust,Q38,4,17,22,45,12,339,4,13,17,42,24,336,2,7,21,51,20,338,1,5,15,53,26,338,2,7,12,58,20,338,2,8,15,56,19,339,6,15,26,43,10,336,8,22,28,37,5,337,1,2,4,34,51,9,340,1,0,3,36,55,6,340,1,5,9,34,41,10,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPG,Oxleas NHS Foundation Trust,Q36,3,14,22,45,16,408,2,5,14,46,33,409,3,6,18,47,26,413,0,4,11,51,34,411,1,5,15,55,23,411,2,5,11,56,26,411,5,13,27,40,16,409,9,25,24,34,8,409,2,4,3,33,41,17,411,1,0,5,36,47,10,410,2,6,9,33,28,21,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT2,Pennine Care NHS Foundation Trust,Q31,5,15,24,46,9,370,1,9,18,46,25,370,2,6,16,58,19,370,1,4,13,55,26,369,3,5,18,59,15,370,3,11,15,55,16,369,8,18,30,37,7,366,7,21,24,44,5,370,2,5,6,35,36,17,369,1,3,5,39,43,10,369,3,10,11,29,24,23,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXE,"Rotherham, Doncaster and South Humber NHS Foundation Trust",Q32,4,16,29,44,8,437,3,10,18,42,27,437,3,8,18,52,19,435,3,3,14,51,28,438,3,5,19,57,17,437,4,7,20,53,16,440,7,19,32,33,8,439,8,22,26,38,5,439,2,5,7,34,37,13,438,2,2,8,36,42,10,438,4,11,11,32,26,17,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAH,Sheffield Health and Social Care NHS Foundation Trust,Q32,6,14,21,45,14,403,5,7,19,37,32,403,3,7,19,47,25,400,2,3,15,55,25,404,2,7,15,55,21,403,2,7,16,53,21,402,8,18,25,39,10,402,8,21,22,38,12,399,2,5,6,38,35,15,400,1,1,6,41,43,8,402,3,10,10,34,26,18,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH5,Somerset Partnership NHS Foundation Trust,Q39,6,18,25,42,9,463,3,9,16,44,27,464,2,8,21,52,17,464,1,3,12,55,29,462,2,7,15,57,19,463,2,12,17,52,16,463,10,20,31,32,7,462,11,26,25,34,4,460,2,7,8,42,30,12,461,0,2,8,46,37,7,462,3,14,13,35,19,16,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWN,South Essex Partnership University NHS Foundation Trust,Q35,6,15,22,44,13,399,6,9,15,42,28,399,3,8,17,50,22,399,1,4,10,53,32,396,2,9,14,54,21,398,2,10,14,53,21,399,9,16,33,32,10,395,13,25,27,30,5,397,3,5,5,36,41,11,396,1,2,4,39,46,8,396,4,11,11,31,27,16,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV5,South London and Maudsley NHS Foundation Trust,Q36,7,13,25,43,11,403,5,8,15,43,29,407,3,8,20,47,23,405,1,6,14,54,25,407,2,8,14,57,18,407,4,12,14,49,21,408,10,15,29,36,11,403,14,27,28,25,5,404,1,4,7,37,34,15,406,0,1,5,41,42,10,405,3,10,12,33,23,19,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRE,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,Q34,5,14,28,43,10,383,4,11,16,43,26,384,4,7,18,51,20,381,1,4,14,49,31,382,3,7,19,51,19,382,4,9,17,51,20,382,8,17,31,34,11,379,8,22,27,37,5,378,2,5,7,35,30,22,378,2,1,8,40,36,13,378,3,8,14,27,20,27,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQY,South West London And St George's Mental Health NHS Trust,Q36,6,16,23,43,12,409,5,8,20,41,25,410,3,7,23,48,19,408,2,3,15,53,27,411,4,7,18,56,16,410,4,11,17,51,17,412,10,17,31,32,10,410,14,23,26,31,5,414,3,4,5,34,33,20,412,2,2,7,38,41,11,409,5,11,10,29,22,24,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXG,South West Yorkshire Partnership NHS Foundation Trust,Q32,8,15,27,42,8,427,6,11,16,43,25,426,4,8,19,50,19,424,1,5,13,55,25,427,2,6,16,60,16,425,3,10,18,54,15,425,9,18,33,33,8,426,9,23,21,39,7,426,2,5,8,33,36,17,428,2,1,6,39,42,9,428,3,11,13,32,21,20,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW1,Southern Health NHS Foundation Trust,Q38,5,13,27,45,10,401,3,7,15,47,27,397,2,7,20,50,20,399,0,3,12,55,29,401,2,6,16,60,16,399,3,11,16,55,16,400,12,17,30,35,6,401,11,25,30,33,2,400,1,5,6,40,37,10,401,1,1,7,41,45,6,398,3,13,11,37,22,14,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXX,Surrey and Borders Partnership NHS Foundation Trust,Q37,6,11,27,46,11,495,4,6,19,43,29,495,4,7,20,51,19,496,2,4,15,53,27,497,3,6,19,53,19,494,3,10,17,53,17,493,9,16,33,32,10,496,17,23,26,30,4,494,2,4,9,33,33,19,497,2,1,10,36,43,9,494,3,9,15,28,25,21,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX2,Sussex Partnership NHS Foundation Trust,Q37,7,18,27,39,9,428,4,13,15,44,24,426,2,7,24,49,18,427,1,7,15,51,27,426,1,8,20,56,16,427,4,12,16,52,15,425,12,25,28,28,6,426,10,32,24,30,5,429,2,8,10,39,28,13,426,1,2,6,44,38,7,427,4,16,15,28,19,18,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNK,Tavistock and Portman NHS Foundation Trust,Q36,6,7,18,51,18,206,3,7,14,47,29,207,1,3,12,50,33,206,1,4,12,59,24,207,1,12,8,57,22,207,3,10,11,49,26,205,6,13,16,45,20,204,6,18,22,44,10,205,2,2,3,45,26,21,204,1,0,7,42,36,13,203,2,7,13,33,15,29,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
