Service,Supplier Name,Date,Amount (£),Purpose of Expenditure,Merchant Category,Transaction Number,Organisation Name,Service Category
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,3.15,Care Payments,Social Community Care Supplies & Services  ,102273377,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-16,"2,217.60",Care Payments,Social Community Care Supplies & Services  ,102273377,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,34.65,Care Payments,Social Community Care Supplies & Services  ,102281137,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,185.85,Care Payments,Social Community Care Supplies & Services  ,102281137,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,12.60,Care Payments,Social Community Care Supplies & Services  ,102281137,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,"1,789.20",Care Payments,Social Community Care Supplies & Services  ,102281137,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,25.20,Care Payments,Social Community Care Supplies & Services  ,102281138,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,154.35,Care Payments,Social Community Care Supplies & Services  ,102281138,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,3.15,Care Payments,Social Community Care Supplies & Services  ,102281138,Stockport,Services to People
Adult Social Care,BIBBY FACTORS MANCHESTER LTD,2015-09-30,"2,195.55",Care Payments,Social Community Care Supplies & Services  ,102281138,Stockport,Services to People
Adult Social Care,Birch Court Care home,2015-09-29,"1,967.14",Care Payments,Social Community Care Supplies & Services  ,102280291,Stockport,Services to People
Adult Social Care,BLACKPOOL FYLDE SOCIETY FOR THE DEA,2015-09-07,"2,323.65",Care Payments,Social Community Care Supplies & Services  ,102267726,Stockport,Services to People
Adult Social Care,BLACKPOOL FYLDE SOCIETY FOR THE DEA,2015-09-07,-632.70,Care Payments,Social Community Care Supplies & Services  ,102267726,Stockport,Services to People
Childrens & Educational Services,BLOSSOM TREE @ BROOKSIDE,2015-09-03,"18,327.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551724,Stockport,Services to People
Childrens & Educational Services,BLOSSOM TREE NURSERY,2015-09-03,"7,534.47",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551723,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,-424.41,Information and Communications Technology,Information Communication Technology  ,1900552996,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-02,333.90,Care Payments,Social Community Care Supplies & Services  ,102264812,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-02,"1,984.50",Care Payments,Social Community Care Supplies & Services  ,102264812,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-02,"3,638.25",Care Payments,Social Community Care Supplies & Services  ,102264812,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-02,"2,983.05",Care Payments,Social Community Care Supplies & Services  ,102264812,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-02,"3,880.80",Care Payments,Social Community Care Supplies & Services  ,102264812,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-02,318.15,Care Payments,Social Community Care Supplies & Services  ,102264813,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-02,"1,918.35",Care Payments,Social Community Care Supplies & Services  ,102264813,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-02,"3,685.50",Care Payments,Social Community Care Supplies & Services  ,102264813,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-02,"2,923.20",Care Payments,Social Community Care Supplies & Services  ,102264813,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-02,"4,255.65",Care Payments,Social Community Care Supplies & Services  ,102264813,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-15,302.40,Care Payments,Social Community Care Supplies & Services  ,102272757,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-15,189.00,Care Payments,Social Community Care Supplies & Services  ,102272757,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-15,390.60,Care Payments,Social Community Care Supplies & Services  ,102272757,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-15,302.40,Care Payments,Social Community Care Supplies & Services  ,102272757,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-15,151.20,Care Payments,Social Community Care Supplies & Services  ,102272757,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,359.10,Care Payments,Social Community Care Supplies & Services  ,102273388,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,"1,849.05",Care Payments,Social Community Care Supplies & Services  ,102273388,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,"3,644.55",Care Payments,Social Community Care Supplies & Services  ,102273388,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,"2,869.65",Care Payments,Social Community Care Supplies & Services  ,102273388,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,"4,076.10",Care Payments,Social Community Care Supplies & Services  ,102273388,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,403.20,Care Payments,Social Community Care Supplies & Services  ,102273389,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,"2,233.35",Care Payments,Social Community Care Supplies & Services  ,102273389,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,"4,340.70",Care Payments,Social Community Care Supplies & Services  ,102273389,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,"3,074.40",Care Payments,Social Community Care Supplies & Services  ,102273389,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,"4,280.85",Care Payments,Social Community Care Supplies & Services  ,102273389,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-30,327.60,Care Payments,Social Community Care Supplies & Services  ,102281147,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-30,"1,808.10",Care Payments,Social Community Care Supplies & Services  ,102281147,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-30,"3,663.45",Care Payments,Social Community Care Supplies & Services  ,102281147,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-30,"2,872.80",Care Payments,Social Community Care Supplies & Services  ,102281147,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-30,"3,833.55",Care Payments,Social Community Care Supplies & Services  ,102281147,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-30,346.50,Care Payments,Social Community Care Supplies & Services  ,102281148,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-30,"1,691.55",Care Payments,Social Community Care Supplies & Services  ,102281148,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-30,"3,458.70",Care Payments,Social Community Care Supplies & Services  ,102281148,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-30,"2,857.05",Care Payments,Social Community Care Supplies & Services  ,102281148,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-30,"3,575.25",Care Payments,Social Community Care Supplies & Services  ,102281148,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-07,"1,200.00",Care Payments,Social Community Care Supplies & Services  ,1900552085,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-11,331.24,Care Payments,Social Community Care Supplies & Services  ,1900552504,Stockport,Services to People
Adult Social Care,BLUEBIRD CARE,2015-09-16,123.20,Care Payments,Social Community Care Supplies & Services  ,1900553242,Stockport,Services to People
Capital Expenditure,BOB COSTELLO ASSOCIATES LTD,2015-09-14,"2,100.00",Professional Fees,Consultancy   ,5100291760,Stockport,Services to Place
Cultural & Related Services,Bolinda UK Limited,2015-09-17,"1,198.50",Library Equipment,Education Library Books ,1900551260,Stockport,Services to Place
Adult Social Care,Bolton Council,2015-09-04,545.45,Other Payments,Human Resources  ,1900551642,Stockport,Services to People
Capital Expenditure,Bonhams,2015-09-16,"9,876.00",Furniture and Equipment,Furniture & Soft Furnishings  ,5100291883,Stockport,Services to Place
Public Health,BOOTS,2015-09-07,18.00,Care Payments,Social Community Care Supplies & Services  ,5100291265,Stockport,Services to People
Public Health,BOOTS,2015-09-07,108.69,Care Payments,Social Community Care Supplies & Services  ,5100291266,Stockport,Services to People
Public Health,BOOTS,2015-09-07,"1,372.40",Care Payments,Social Community Care Supplies & Services  ,5100291267,Stockport,Services to People
Public Health,BOOTS,2015-09-08,139.99,Care Payments,Social Community Care Supplies & Services  ,5100291385,Stockport,Services to People
Public Health,BOOTS,2015-09-18,"1,696.20",Care Payments,Social Community Care Supplies & Services  ,5100291392,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"2,230.00",Care Payments,Social Community Care Supplies & Services  ,102267733,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,-631.50,Care Payments,Social Community Care Supplies & Services  ,102267733,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"6,690.00",Care Payments,Social Community Care Supplies & Services  ,102267733,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-1,829.10",Care Payments,Social Community Care Supplies & Services  ,102267733,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"4,460.00",Care Payments,Social Community Care Supplies & Services  ,102267733,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-1,257.25",Care Payments,Social Community Care Supplies & Services  ,102267733,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"21,355.00",Care Payments,Social Community Care Supplies & Services  ,102267733,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-8,238.35",Care Payments,Social Community Care Supplies & Services  ,102267733,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"2,230.00",Care Payments,Social Community Care Supplies & Services  ,102267733,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,-832.60,Care Payments,Social Community Care Supplies & Services  ,102267733,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"34,417.86",Care Payments,Social Community Care Supplies & Services  ,102267734,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-9,542.70",Care Payments,Social Community Care Supplies & Services  ,102267734,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"2,230.00",Care Payments,Social Community Care Supplies & Services  ,102267734,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,-610.70,Care Payments,Social Community Care Supplies & Services  ,102267734,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"14,412.00",Care Payments,Social Community Care Supplies & Services  ,102267734,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-3,056.60",Care Payments,Social Community Care Supplies & Services  ,102267734,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"13,520.00",Care Payments,Social Community Care Supplies & Services  ,102267734,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-3,353.75",Care Payments,Social Community Care Supplies & Services  ,102267734,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"20,280.00",Care Payments,Social Community Care Supplies & Services  ,102267735,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-4,231.30",Care Payments,Social Community Care Supplies & Services  ,102267735,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"11,220.00",Care Payments,Social Community Care Supplies & Services  ,102267735,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-2,678.20",Care Payments,Social Community Care Supplies & Services  ,102267735,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"11,290.00",Care Payments,Social Community Care Supplies & Services  ,102267735,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-4,092.44",Care Payments,Social Community Care Supplies & Services  ,102267735,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"6,760.00",Care Payments,Social Community Care Supplies & Services  ,102267735,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,318.57,Care Payments,Social Community Care Supplies & Services  ,102267736,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"4,285.00",Care Payments,Social Community Care Supplies & Services  ,102267737,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,-695.40,Care Payments,Social Community Care Supplies & Services  ,102267737,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"2,300.00",Care Payments,Social Community Care Supplies & Services  ,102267737,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,-727.70,Care Payments,Social Community Care Supplies & Services  ,102267737,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"21,214.29",Care Payments,Social Community Care Supplies & Services  ,102267737,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-4,586.66",Care Payments,Social Community Care Supplies & Services  ,102267737,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"2,230.00",Care Payments,Social Community Care Supplies & Services  ,102267737,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,-681.10,Care Payments,Social Community Care Supplies & Services  ,102267737,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"2,230.00",Care Payments,Social Community Care Supplies & Services  ,102267738,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,-567.85,Care Payments,Social Community Care Supplies & Services  ,102267738,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"2,230.00",Care Payments,Social Community Care Supplies & Services  ,102267738,Stockport,Services to People
Adult Social Care,BOROUGH CARE LTD,2015-09-07,"-1,053.40",Care Payments,Social Community Care Supplies & Services  ,102267738,Stockport,Services to People
