Newcastle City Council Invoices over £250 paid in February 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154262,Revenue,1E+212,Transport Special,780.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154263,Revenue,1E+212,Transport Special,513.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154264,Revenue,1E+212,Transport Special,432.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,21/02/2014,DENTON TRAVEL,6154265,Revenue,1E+212,Transport Special,520.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,25/02/2014,DENTON TRAVEL,6160926,Revenue,1E+212,Transport Special,486.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,25/02/2014,DENTON TRAVEL,6162210,Revenue,1E+212,Transport Special,"1,140.00 ",
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139419,Revenue,1E+212,Transport Special,600.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139420,Revenue,1E+212,Transport Special,937.60 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139422,Revenue,1E+212,Transport Special,660.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139423,Revenue,1E+212,Transport Special,660.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139424,Revenue,1E+212,Transport Special,"1,000.00 ",
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139425,Revenue,1E+212,Transport Special,910.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139426,Revenue,1E+212,Transport Special,400.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139427,Revenue,1E+212,Transport Special,396.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139428,Revenue,1E+212,Transport Special,450.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139430,Revenue,1E+212,Transport Special,780.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139432,Revenue,1E+212,Transport Special,570.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139433,Revenue,1E+212,Transport Special,480.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139435,Revenue,1E+212,Transport Special,520.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139438,Revenue,1E+212,Transport Special,700.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139439,Revenue,1E+212,Transport Special,560.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139440,Revenue,1E+212,Transport Special,300.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139441,Revenue,1E+212,Transport Special,518.90 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139446,Revenue,1E+212,Transport Special,460.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139447,Revenue,1E+212,Transport Special,342.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139448,Revenue,1E+212,Transport Special,600.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139449,Revenue,1E+212,Transport Special,540.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139454,Revenue,1E+212,Transport Special,600.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139457,Revenue,1E+212,Transport Special,774.80 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139459,Revenue,1E+212,Transport Special,"1,140.00 ",
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139460,Revenue,1E+212,Transport Special,620.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139461,Revenue,1E+212,Transport Special,"1,140.00 ",
Children's Services,Childrens Services Support       ,Transfer Payments,06/02/2014,DENTON TRAVEL,6139462,Revenue,1E+212,Transport Special,460.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,28/02/2014,DENTON TRAVEL,6166619,Revenue,1E+212,Transport Special,460.00 ,
Children's Services,Childrens Services Support       ,Transport,26/02/2014,DENTON TRAVEL,6164365,Revenue,1MD62,Support to LAC,599.00 ,
Children's Services,Childrens Services Support       ,Transport,26/02/2014,DENTON TRAVEL,6164425,Revenue,1MC02,Ind Sector Placements,490.00 ,
Children's Services,Childrens Services Support       ,Transport,26/02/2014,DENTON TRAVEL,6164364,Revenue,1MC02,Ind Sector Placements,539.00 ,
Children's Services,Childrens Services Support       ,Transport,26/02/2014,DENTON TRAVEL,6164426,Revenue,1MD62,Support to LAC,570.00 ,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,DEPAUL TRUST,6141427,Revenue,1MF01,16+ Team (YP),"1,278.90 ",
Environment & Regeneration,Fleet Management System                ,Supplies & Services,20/02/2014,DEPENDABLE BODIES (NEWCASTLE) LTD,6134102,Revenue,1KESA,Heavy Workshop Routine Repair,"1,075.85 ",
Environment & Regeneration,Fleet Management System                ,Supplies & Services,10/02/2014,DEPENDABLE BODIES (NEWCASTLE) LTD,6138058,Revenue,1KESH,Light Workshop Routine Repair,368.15 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,13/02/2014,DEPENDABLE BODIES (NEWCASTLE) LTD,6125398,Revenue,1KESH,Light Workshop Routine Repair,330.99 ,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,13/02/2014,DEPENDABLE BODIES (NEWCASTLE) LTD,6125399,Revenue,1KESH,Light Workshop Routine Repair,525.53 ,
Chief Executive's,CD - Legal Services              ,Supplies & Services,19/02/2014,DERE STREET BARRISTERS,6152419,Revenue,1MR52,Adults Admin Pool,"1,740.00 ",
Environment & Regeneration,Cityworks Gosforth         ,Supplies & Services,24/02/2014,DERWENT HEALTHCARE LIMITED,6159586,Revenue,1KL1G,Gosforth Pool,340.00 ,
Environment & Regeneration,NS: District Heating       ,Employees,24/02/2014,DERWENTSIDE COLLEGE,6158971,Revenue,1KR8L,Wide District Heating,"1,015.00 ",
Children's Services,Invoice,Supplies & Services,21/02/2014,DESKTOP SOLUTIONS LTD,5944707,Revenue,1FA53,Reg of Births Deaths & Margs,400.00 ,
Environment & Regeneration,NS: Street Lighting PFI    ,Premises,17/02/2014,DGB EVENTS LTD,6147923,Revenue,1KE92,Christmas Lights,"9,440.18 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",19/02/2014,DIMENSIONS,6152088,Revenue,1MK50,Ind Supported Living LD,-344.94 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",19/02/2014,DIMENSIONS,6152088,Revenue,1MK50,Ind Supported Living LD,"-1,159.28 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,DIMENSIONS,6153834,Revenue,1MK54,Dom Care Own Tenancy LD,"2,054.10 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,DIMENSIONS,6153834,Revenue,1MK55,Dom Care Family/Carer LD,246.00 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,DIMENSIONS,6152088,Revenue,1MK50,Ind Supported Living LD,"46,095.99 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,DIMENSIONS,6152088,Revenue,3WH96,Continuing Care-Dom Payments,"3,891.20 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/02/2014,DIMENSIONS,6153834,Revenue,1MK54,Dom Care Own Tenancy LD,258.30 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,DIMENSIONS,6152088,Revenue,1MK50,Ind Supported Living LD,"23,568.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,19/02/2014,DIMENSIONS,6152088,Revenue,3WH96,Continuing Care-Dom Payments,"6,076.80 ",
Adult and Culture,Social Services                        ,Supplies & Services,17/02/2014,DIMENSIONS (UK) LTD,6144421,Revenue,3WJ01,Service Users Funds,"1,126.08 ",
Adult and Culture,Social Services                        ,Supplies & Services,17/02/2014,DIMENSIONS (UK) LTD,6144422,Revenue,3WJ01,Service Users Funds,"1,178.28 ",
Environment & Regeneration,EEC U/Design            ,Premises,13/02/2014,DIOCESE OF THE U.K. OLD CATHOLIC CHURCH,6145327,Revenue,1V074,Grainger Town & Public Art,294.79 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,DIPTON MANOR CARE HOME,6142831,Revenue,1MG20,Ind Res Care Elderly,-486.00 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,DIPTON MANOR CARE HOME,6142831,Revenue,1MG10,Ind Nursing Care Elderly,-737.96 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,DIPTON MANOR CARE HOME,6142831,Revenue,1MG20,Ind Res Care Elderly,"1,894.36 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,DIPTON MANOR CARE HOME,6142831,Revenue,1MG10,Ind Nursing Care Elderly,"1,983.92 ",
Children's Services,Childrens Services Support       ,Transfer Payments,28/02/2014,DIRECT CARS,6140459,Revenue,1E+212,Transport Special,546.00 ,
Children's Services,Childrens Services Support       ,Transfer Payments,28/02/2014,DIRECT CARS,6140470,Revenue,1E+212,Transport Special,344.00 ,
Children's Services,Educ Special Needs         ,Premises,03/02/2014,DISABILITY NORTH INVOICES,6128644,Revenue,1E+302,Parent Partnership Service,"1,125.75 ",
Children's Services,Educ Special Needs         ,Supplies & Services,03/02/2014,DISABILITY NORTH INVOICES,6128644,Revenue,1E+302,Parent Partnership Service,96.89 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MG40,Direct Payments Elderly,-697.05 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MH40,Direct Payments PD,-413.28 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MK40,Direct Payments LD,-868.20 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MM40,Direct Payments MH,-544.72 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MG40,Direct Payments Elderly,"-2,409.40 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MH40,Direct Payments PD,"-2,204.52 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MK40,Direct Payments LD,"-2,403.08 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MM40,Direct Payments MH,-601.32 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MD66,CWD Care Packages,"1,440.80 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MG40,Direct Payments Elderly,"5,016.64 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MH40,Direct Payments PD,"6,230.24 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MK40,Direct Payments LD,"16,743.85 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MM40,Direct Payments MH,"3,880.98 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,3WH96,Continuing Care-Dom Payments,"4,031.88 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MD66,CWD Care Packages,"9,554.28 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MG40,Direct Payments Elderly,"19,809.88 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MH40,Direct Payments PD,"23,287.88 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MK40,Direct Payments LD,"57,603.17 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,1MM40,Direct Payments MH,"6,084.21 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,DISABILITY NORTH PAYROLL,6161679,Revenue,3WH96,Continuing Care-Dom Payments,"2,547.44 ",
Chief Executive's,CD - Exchequer Payroll Prep      ,Supplies & Services,26/02/2014,DISCLOSURE SCOTLAND,6148106,Revenue,1CF00,Payroll,900.00 ,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,27/02/2014,DIXONS OF WESTERHOPE (CALOR GAS),6165522,Revenue,1KEMV,Blacksmiths,260.07 ,
Adult and Culture,Adult Serv Learn Disab     ,Transport,20/02/2014,DJ MINIBUSES,6153693,Revenue,1MK60,Ind Day Care LD,470.00 ,
Adult and Culture,Adult Serv Learn Disab     ,Transport,26/02/2014,DJ MINIBUSES,6163519,Revenue,1MK60,Ind Day Care LD,470.00 ,
Adult and Culture,Adult Serv Learn Disab     ,Transport,13/02/2014,DJ MINIBUSES,6145483,Revenue,1MK60,Ind Day Care LD,470.00 ,
Children's Services,Childrens Services Support       ,Transport,06/02/2014,DJ MINIBUSES,6139199,Revenue,1MK60,Ind Day Care LD,470.00 ,
Children's Services,Childrens Services Support       ,Transport,19/02/2014,DJ MINIBUSES,6150972,Revenue,1MK60,Ind Day Care LD,470.00 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/02/2014,DLF-PERYFIELDS LTD,6142696,Revenue,1KEAT,Hortic Services Overhead,"1,950.00 ",
Environment & Regeneration,E&R Parking Services       ,Premises,24/02/2014,DORMA UK LTD,6154877,Revenue,1V204,Car Parking Infrastructure,830.55 ,
Environment & Regeneration,E&R Parking Services       ,Premises,28/02/2014,DORMA UK LTD,6164483,Revenue,1V204,Car Parking Infrastructure,631.00 ,
Environment & Regeneration,E&R Parking Services       ,Premises,20/02/2014,DORMA UK LTD,6153743,Revenue,1V204,Car Parking Infrastructure,995.48 ,
Environment & Regeneration,E&R Parking Services       ,Premises,27/02/2014,DORMA UK LTD,6165495,Revenue,1V204,Car Parking Infrastructure,592.00 ,
Chief Executive's,CD - Business Dev Centres        ,Supplies & Services,20/02/2014,DOUGAL & RAILTON LTD,6153383,Revenue,1DE49,i4- Quayside NEC,415.98 ,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,DOVE ADOLESCENT SERVICES,6141458,Revenue,1MC02,Ind Sector Placements,"14,482.16 ",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,10/02/2014,DOVE ADOLESCENT SERVICES,6141459,Revenue,1MC12,Section 31A High Care Needs,"14,482.16 ",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,21/02/2014,DRAEGER LTD,6151675,Revenue,1KB06,Citybuild Training,630.00 ,
Chief Executive's,CD - SPAM Trading Account        ,Capital Expenditure,25/02/2014,DTZ DEBENHAM TIE LEUNG,6155055,Capital,2FT14,Property Services,"4,583.34 ",
Chief Executive's,CD - Markets                     ,Supplies & Services,13/02/2014,DTZ DEBENHAM TIE LEUNGE,6145484,Revenue,1DX02,Eldon Square,"1,748.30 ",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,18/02/2014,DUNDEE CITY COUNCIL,6141822,Revenue,1MG20,Ind Res Care Elderly,"2,332.44 ",
Chief Executive's,CD - Corporate Services NOR            ,Other Income,27/02/2014,DURHAM COUNTY COUNCIL,6165525,Revenue,1FR03,Procurement & Efficiency,"12,789.56 ",
Chief Executive's,CD - Central Policy Unit         ,Third Party Payments,13/02/2014,DURHAM COUNTY COUNCIL,6145385,Revenue,1FN10,Policy Strat&Com-Specialists,"10,000.00 ",
Chief Executive's,CD - Corporate Procurement       ,Other Income,25/02/2014,DURHAM COUNTY COUNCIL,6154612,Revenue,1FR03,Procurement & Efficiency,"12,789.56 ",
