Creditor Name ,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
REDACTED PERSONAL INFORMATION,1279.09, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,1290.96, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,804.88, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,1613.82, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,751.56, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,652, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,864.92, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1366.86, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1206.38, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1532.3, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1930.2, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1930.2, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,499.94, 14/10/2015,Childrens Services,Services Vol Associations
REDACTED PERSONAL INFORMATION,1930.2, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1408.68, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1731.14, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,717.38, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1365.14, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1127.02, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1715.05, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1692.32, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1065.28, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,864.92, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,484.7, 14/10/2015,Childrens Services,Services Vol Associations
REDACTED PERSONAL INFORMATION,1779.84, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1217.6, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,667.38, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,914.92, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2720.98, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1158.95, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,938.07, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1930.2, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,947.92, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,881.57, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1065.28, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,3725.62, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1662.75, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,816.22, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1681.14, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1254.04, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1651.84, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1334.76, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1065.28, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,667.38, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,717.38, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,766.22, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1831.5, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1398.76, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2594.76, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1398.76, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1226.38, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1035.14, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,3572.46, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1422.98, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,667.38, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1065.28, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2136.29, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1295.28, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1011.08, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1781.14, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1011.8, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1483.6, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,864.92, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,766.22, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1644.45, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1880.2, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1038.93, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1880.2, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2557.06, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,963.02, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2660, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,7875.6, 14/10/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,2303.85, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,741.36, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,34.98, 14/10/2015,Childrens Services,Equipment
REDACTED PERSONAL INFORMATION,820.95, 14/10/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,990.84, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,795.54, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,1873.64, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,891.08, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,855.64, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,750.88, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,2128.53, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,774.1, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,1471.16, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,1393.52, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,795.54, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,755.24, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,904.12, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,854.47, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,828.92, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,911.69, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,962.84, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,2140.91, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,834.25, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,625.48, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
REDACTED PERSONAL INFORMATION,504.44, 14/10/2015,Childrens Services,Residence Orders - Section 8 Payments
OSBORNE ENERGY LTD,1176296.09, 14/10/2015,Capital Housing Revenue Acc,Refurbishment
OSBORNE ENERGY LTD,374029.14, 14/10/2015,Capital Housing Revenue Acc,Refurbishment
ABACUS CARE GREENWICH,714.92, 14/10/2015,Adult and Older People,Agency Staff
REDACTED PERSONAL INFORMATION,1086.24, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,726.24, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1617.2, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,582.4, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,4413.6, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,844.4, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1100.2, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,3329.97, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,2138.4, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1109.6, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,532.44, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,988.3, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,597.2, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1119.08, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1540, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,667.51, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,586.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1222.22, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,778.88, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1529.76, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,660.41, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,767.2, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,622.4, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,504.44, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1438.25, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,586.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,2799.04, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,586.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1201.28, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1229.28, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,532.44, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,504.44, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1201.28, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,2803.22, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1594.42, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,524.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,778.88, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,532.44, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1523.28, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,750.88, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,835.56, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1195.56, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,591.1, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,782.4, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,912.72, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,586.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,693.76, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,555.2, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,586.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,504.44, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1432.08, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,2862.4, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,2363.12, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,586.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1201.28, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,916.08, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1095.39, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1147.08, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,504.44, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1036.88, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,735.16, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,532.44, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,798.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1108.8, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,835.56, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,586.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,950.64, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,726.24, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,597.2, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,567, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,617.2, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,653.2, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,532.44, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,3022.4, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,586.64, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,547.7, 14/10/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,862.4, 14/10/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,2994.4, 14/10/2015,Childrens Services,Adoption Allowances
