Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum Of Amount
Department for Transport,Department for Transport,16/02/2011,Services provided by OGDs,Human Resources,DEPARTMENT FOR WORK & PENSIONS,2000025583,"15,567.60"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,DERBY CITY COUNCIL,2000025538,"949,299.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,DERBYSHIRE COUNTY COUNCIL,2000025539,"195,500.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,DERBYSHIRE DALES DC,2000025627,"30,001.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,DORSET COUNTY COUNCIL,2000025540,"206,500.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,DOVER DC,2000025628,"86,280.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,DURHAM COUNTY COUNCIL,2000025541,"205,000.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,DURHAM COUNTY COUNCIL,2000025541,"381,327.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EAST CAMBRIDGESHIRE DC,2000025629,"15,998.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EAST DEVON DISTRICT COUNCIL,2000025748,"148,828.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EAST DORSET DC,2000025749,"22,959.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EAST HAMPSHIRE DC,2000025630,"22,824.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EAST LINDSEY DISTRICT COUNCIL,2000025631,"235,487.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EAST NORTHAMPTONSHIRE COUNCIL,2000025750,"64,266.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EAST RIDING OF YORKSHIRE COUNCIL,2000025751,"217,896.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EAST STAFFORDSHIRE BC,2000025752,"107,027.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EASTBOURNE BC,2000025632,"244,340.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EASTLEIGH BC,2000025633,"78,985.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EDEN DC,2000025634,"55,232.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,ELMBRIDGE BC,2000025635,"29,277.00"
Department for Transport,Department for Transport,16/02/2011,Occupational Health Scheme,Human Resources,EMPLOYEE ADVISORY RESOURCE LTD,2000025636,"1,279.82"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EPPING FOREST DC,2000025637,"24,332.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EPSOM & EWELL BC,2000025753,"22,489.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EREWASH BOROUGH COUNCIL,2000025819,"195,372.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,EXETER CITY COUNCIL,2000025638,"575,040.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,FAREHAM BC,2000025640,"182,916.00"
Department for Transport,Department for Transport,16/02/2011,IT Equipment Capital Cost,Accident Investigating Branches,FEDERAL EXPRESS EUROPE INC,2000025641,"14,352.13"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,FENLAND DC,2000025642,"56,356.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,FOREST HEATH DC,2000025643,"24,105.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,FOREST OF DEAN DC,2000025644,"43,790.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,FYLDE BC,2000025754,"160,550.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,GEDLING BC,2000025645,"79,550.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,GLOUCESTER CITY COUNCIL,2000025646,"131,190.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,GOSPORT BOROUGH COUNCIL,2000025647,"50,437.00"
Department for Transport,Department for Transport,16/02/2011,Training,Transport Security,GOVNET COMMUNICATIONS,2000025648,534
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,GRAVESHAM BC,2000025649,"110,186.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,GREAT YARMOUTH BC,2000025650,"253,939.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,GREATER MANCHESTER ITA,2000025836,"2,728,427.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,GUILDFORD BC,2000025809,"215,651.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HALTON BC,2000025542,"81,657.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HAMBLETON DC,2000025755,"65,094.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,HAMPSHIRE COUNTY COUNCIL,2000025543,"100,000.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HARBOROUGH DC,2000025651,"21,221.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HARLOW DISTRICT COUNCIL,2000025652,"91,179.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HARROGATE BC,2000025756,"368,941.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HART DC,2000025653,"14,655.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HARTLEPOOL BOROUGH COUNCIL,2000025544,"86,320.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HASTINGS BOROUGH COUNCIL,2000025654,"158,100.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HAVANT BC,2000025655,"84,772.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HEREFORDSHIRE COUNCIL,2000025757,"169,215.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,HERTFORDSHIRE CC,2000025545,"587,250.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HERTFORDSHIRE CC,2000025545,"871,480.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HIGH PEAK BC,2000025758,"68,209.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HINCKLEY & BOSWORTH BC,2000025656,"103,983.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HORSHAM DC,2000025657,"127,622.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HUNTINGDONSHIRE DC,2000025658,"117,775.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,HYNDBURN BC,2000025759,"84,792.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,IPSWICH BC,2000025660,"154,108.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,ISLE OF WIGHT COUNCIL,2000025546,"437,924.00"
Department for Transport,Department for Transport,16/02/2011,Small Software,Accident Investigating Branches,KELVIN HUGHES LTD,2000025661,"1,134.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,KETTERING BC,2000025760,"148,789.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,KINGS LYNN & WEST NORFOLK BC,2000025662,"130,750.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,KINGSTON UPON HULL CITY COUNCIL,2000025761,"479,729.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,LANCASTER CITY COUNCIL,2000025762,"296,539.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,LANCHASHIRE COUNTY COUNCIL,2000025807,"202,000.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,LEICESTER CITY COUNCIL,2000025547,"578,435.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,LEICESTERSHIRE COUNTY COUNCIL,2000025576,"81,000.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,LEWES DISTRICT COUNCIL,2000025816,"22,156.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,LICHFIELD DC,2000025810,"52,980.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,LINCOLN CITY COUNCIL,2000025763,"188,844.00"
Department for Transport,Department for Transport,16/02/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,LINCOLNSHIRE COUNTY COUNCIL,2000025548,"631,500.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,LONDON COUNCILS,2000025663,"6,927,013.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,LUTON BOROUGH COUNCIL,2000025549,"502,191.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,MAIDSTONE B C,2000025764,"115,174.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,MALDON DC,2000025664,"31,648.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,MALVERN HILLS DC,2000025765,"47,144.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,MANSFIELD DC,2000025665,"170,692.00"
Department for Transport,Department for Transport,16/02/2011,Insurance,Human Resources,MARSH LTD,2000025666,"2,040.50"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,MEDWAY COUNCIL,2000025766,"173,449.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,MELTON BOROUGH COUNCIL,2000025667,"27,128.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,MENDIP DISTRICT COUNCIL,2000025668,"82,016.00"
Department for Transport,Department for Transport,16/02/2011,Current Grants to LAs within AEF/AEG,Regional & Local Transport Policy,MERSEYTRAVEL,2000025767,"1,975,374.00"
Department for Transport,Department for Transport,16/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003833,"1,727.18"
