Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,Department for Transport,17/03/2011,Transport Consultancy,Rail Service Delivery,BOVIS LEND LEASE CONSULTING LTD,2000004190,"11,084.00"
Department for Transport,Department for Transport,17/03/2011,Services provided by OGDs,Rail Strategy & Stakeholder Relations,BRB (RESIDUARY) LTD,2000004191,"30,779.29"
Department for Transport,Department for Transport,17/03/2011,Legal Consultancy,Projects,FRESHFIELDS,2000004192,"1,471.86"
Department for Transport,Department for Transport,17/03/2011,BUS FDR Wales,Regional & Local Transport Policy,EDWARDS COACHES LTD,2000028187,"35,043.99"
Department for Transport,Department for Transport,17/03/2011,Agency Staff Costs,Aviation,HAYS PERSONNEL SERVICE LTD,2000028188,967.28
Department for Transport,Department for Transport,17/03/2011,Agency Staff Costs,Information Management Directorate,NES IT LTD,2000028189,"17,226.00"
Department for Transport,Department for Transport,17/03/2011,Training,Transport Security,ATKINS LTD (TRANSPORT PLANNING),2000028190,"1,033.26"
Department for Transport,Department for Transport,17/03/2011,Legal Consultancy,Major Projects,C M S CAMERON MCKENNA,2000028195,"38,678.52"
Department for Transport,Department for Transport,17/03/2011,Research,Aviation,CAA INTERNATIONAL LTD,2000028196,"48,904.32"
Department for Transport,Department for Transport,17/03/2011,Training,Accident Investigating Branches,CRANFIELD UNIVERSITY,2000028198,522
Department for Transport,Department for Transport,17/03/2011,Computer equipment,Accident Investigating Branches,DARKE & TAYLOR LTD,2000028200,"1,637.54"
Department for Transport,Department for Transport,17/03/2011,Furniture & Fittings,Accident Investigating Branches,DERBY OFFICE MACHINES LTD,2000028201,"1,142.88"
Department for Transport,Department for Transport,17/03/2011,Furniture & Fittings,Accident Investigating Branches,DERBY OFFICE MACHINES LTD,2000028201,"2,268.00"
Department for Transport,Department for Transport,17/03/2011,Computer Consumables,Legal Services Directorate ,EQUANET,2000028202,620.52
Department for Transport,Department for Transport,17/03/2011,Computer equipment,Information Management Directorate,EQUANET,2000028202,-688.79
Department for Transport,Department for Transport,17/03/2011,Research,Road & Vehicle Safety & Standards,AECOM LIMITED,2000028203,"18,755.13"
Department for Transport,Department for Transport,17/03/2011,Research,Road & Vehicle Safety & Standards,AECOM LIMITED,2000028203,"48,481.15"
Department for Transport,Department for Transport,17/03/2011,Training,Accident Investigating Branches,FAST HELICOPTERS LIMITED,2000028204,"1,092.28"
Department for Transport,Department for Transport,17/03/2011,Medical Advisory Service,Human Resources,HEALTH MANAGEMENT LTD,2000028205,446.6
Department for Transport,Department for Transport,17/03/2011,Medical Advisory Service,Human Resources,HEALTH MANAGEMENT LTD,2000028205,486.2
Department for Transport,Department for Transport,17/03/2011,Translation Services,Accident Investigating Branches,K INTERNATIONAL PLC,2000028206,890.78
Department for Transport,Department for Transport,17/03/2011,Support Services,Aviation,MOD DGFM SSC,2000028208,"14,507.14"
Department for Transport,Department for Transport,17/03/2011,Contract Cleaning,Accident Investigating Branches,NETWORK CLEANING SERVICES LTD,2000028209,"1,790.00"
Department for Transport,Department for Transport,17/03/2011,Machinery Rental,Accident Investigating Branches,OCE UK LTD,2000028211,634.88
Department for Transport,Department for Transport,17/03/2011,Data Supply - Transport Direct,Information Management Directorate,ORDNANCE SURVEY,2000028212,"6,184.79"
Department for Transport,Department for Transport,17/03/2011,Management Consultancy,Finance & Estates ,QUINCEY MASON PRACTICES LTD,2000028213,872.51
Department for Transport,Department for Transport,17/03/2011,Management Consultancy,Finance & Estates ,QUINCEY MASON PRACTICES LTD,2000028213,"2,617.56"
Department for Transport,Department for Transport,17/03/2011,Management Consultancy,Finance & Estates ,QUINCEY MASON PRACTICES LTD,2000028213,"1,229.46"
Department for Transport,Department for Transport,17/03/2011,Management Consultancy,Finance & Estates ,QUINCEY MASON PRACTICES LTD,2000028213,"3,172.80"
Department for Transport,Department for Transport,17/03/2011,Agency Staff Costs,Transport Security,REED SPECIALIST RECRUITMENT LTD,2000028214,853.63
Department for Transport,Department for Transport,17/03/2011,Transport Consultancy,Information Management Directorate,TRANSPORT & TRAVEL RESEARCH LTD,2000028218,"11,127.60"
Department for Transport,Department for Transport,17/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000028219,"10,930.00"
Department for Transport,Department for Transport,17/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000028219,"25,890.00"
Department for Transport,Department for Transport,17/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000028219,"15,402.25"
Department for Transport,Department for Transport,17/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000028219,"16,156.58"
Department for Transport,Department for Transport,17/03/2011,IT Services  Running Costs,Information Management Directorate,TRAPEZE GROUP (UK) LTD,2000028220,"18,559.20"
Department for Transport,Department for Transport,17/03/2011,Transport Consultancy,Transport Analysis and Economics,WSP DEVELOPMENT LTD,2000028221,"37,839.96"
Department for Transport,Department for Transport,17/03/2011,Telephone charges,Information Management Directorate,BT PAYMENT SERVICES LTD,2000028222,"1,864.68"
Department for Transport,Department for Transport,17/03/2011,Telephone Line Rental,Information Management Directorate,BT PAYMENT SERVICES LTD,2000028222,"38,411.04"
Department for Transport,Department for Transport,17/03/2011,Subsidies to Private Sector,Maritime and Dangerous Goods,ROSPA ENTERPRISES LTD,2000028223,"67,724.92"
Department for Transport,Department for Transport,17/03/2011,Rates,Accident Investigating Branches,RUSHMOOR BC,2000028224,"96,992.00"
Department for Transport,Department for Transport,17/03/2011,Agency Staff Costs,Finance & Estates ,MICHAEL PAGE INTERNATIONAL,2000028225,"2,208.00"
Department for Transport,Department for Transport,17/03/2011,Agency Staff Costs,Finance & Estates ,MICHAEL PAGE INTERNATIONAL,2000028225,"1,376.75"
Department for Transport,Department for Transport,17/03/2011,Rent - L&B (non-PFI),Major Projects,EUROSTAR (UK) LTD,2000028226,"6,481,706.10"
Department for Transport,Department for Transport,17/03/2011,Storage & Distribution,Communication Directorate ,CAMBERTOWN LIMITED,2000028228,"9,931.95"
Department for Transport,Department for Transport,17/03/2011,Management Consultancy,Regional & Local Transport,CLARKE WILLMOTT LLP,2000028229,"1,085.00"
Department for Transport,Department for Transport,17/03/2011,Training,Accident Investigating Branches,THOMAS COOK AIRLINES,2000028231,"8,314.00"
Department for Transport,Department for Transport,17/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Information Management Directorate,REAL TIME INFORMATION GROUP,2000028232,"75,000.00"
Department for Transport,Department for Transport,17/03/2011,Telephone charges,Accident Investigating Branches,ALTERNATIVE NETWORKS PLC,2000028233,"2,489.43"
Department for Transport,Department for Transport,17/03/2011,Subsidies to Private Sector,Maritime and Dangerous Goods,AEA TECHNOLOGY ENVIRONMENT,2000028234,"1,300,961.00"
Department for Transport,Department for Transport,17/03/2011,Capital Grant to Priv Sector - Companies,Regional & Local Transport Policy,FIRST MANCHESTER LTD,2000028236,"1,013,109.02"
Department for Transport,Department for Transport,17/03/2011,Property Consultancy,Maritime and Dangerous Goods,FAITHFUL & GOULD LTD,2000028237,"12,016.50"
Department for Transport,Department for Transport,17/03/2011,Property Consultancy,Maritime and Dangerous Goods,FAITHFUL & GOULD LTD,2000028237,"4,005.50"
Department for Transport,Department for Transport,17/03/2011,Property Maintenance,Accident Investigating Branches,HAMPSHIRE MEZZANINE FLOORS LTD,2000028238,"6,834.60"
Department for Transport,Department for Transport,17/03/2011,Training,Audit and Risk Assurance,NATIONAL SCHOOL OF GOVERNMENT,2000028239,"1,000.00"
Department for Transport,Department for Transport,17/03/2011,Services provided by OGDs,Transform Licensing Logistics and Sponsorship,VEHICLE & OPERATOR SERVICES AGENCY,2000028240,"1,000,000.00"
Department for Transport,Department for Transport,18/03/2011,Transport Consultancy,Projects,JACOBS ENGINEERING U.K. LTD,2000004202,"114,159.35"
Department for Transport,Department for Transport,18/03/2011,Transport Consultancy,Projects,JACOBS ENGINEERING U.K. LTD,2000004202,"114,159.35"
Department for Transport,Department for Transport,18/03/2011,Management Consultancy,Projects,PRICEWATERHOUSECOOPERS LLP,2000004203,"259,131.17"
Department for Transport,Department for Transport,18/03/2011,Transport Consultancy,Projects,STEER DAVIES & GLEAVE LTD,2000004204,"3,064.74"
Department for Transport,Department for Transport,18/03/2011,Mobile Phone charges,Finance & Planning,VODAFONE LTD,2000004206,"4,666.65"
Department for Transport,Department for Transport,18/03/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000004207,"1,253.86"
Department for Transport,Department for Transport,18/03/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000004207,"2,158.98"
Department for Transport,Department for Transport,18/03/2011,Agency Staff Costs,Procurement,CAPITA RESOURCING LTD,2000004208,"11,750.22"
Department for Transport,Department for Transport,18/03/2011,Capital Grant to Priv Sector - Companies,PLEASE CHECK DIRECTORATE,EVERSHEDS LLP,2000004209,"18,000.00"
Department for Transport,Department for Transport,18/03/2011,Stationery (Non-stock),Finance & Estates ,BANNER BUSINESS SERVICES LTD,2000028291,523.47
Department for Transport,Department for Transport,18/03/2011,Small Software,Information Management Directorate,INSIGHT DIRECT (UK) LTD,2000028293,"1,610.78"
Department for Transport,Department for Transport,18/03/2011,Computer equipment,Accident Investigating Branches,Misco,2000028294,"3,089.28"
Department for Transport,Department for Transport,18/03/2011,Computer equipment,Accident Investigating Branches,Misco,2000028294,"7,209.07"
Department for Transport,Department for Transport,18/03/2011,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000028295,"7,674.00"
Department for Transport,Department for Transport,18/03/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000028296,"10,260.00"
Department for Transport,Department for Transport,18/03/2011,Computer equipment,Accident Investigating Branches,DELL CORPORATION LTD,2000028298,"1,718.51"
Department for Transport,Department for Transport,18/03/2011,IT Services  Running Costs,Communication Directorate ,KAINOS SOFTWARE,2000028299,"10,068.00"
Department for Transport,Department for Transport,18/03/2011,Infrastructure Maintenance,Road & Vehicle Safety & Standards,NATIONAL POLICING,2000028300,"1,113,866.64"
Department for Transport,Department for Transport,18/03/2011,Services provided by OGDs,Maritime and Dangerous Goods,NATIONAL POLICING,2000028300,"40,000.00"
Department for Transport,Department for Transport,18/03/2011,Transport Consultancy,Aviation,NERA UK LTD,2000028301,840
Department for Transport,Department for Transport,18/03/2011,Transport Consultancy,Regional & Local Transport,STEER DAVIES & GLEAVE LTD,2000028303,"33,672.30"
Department for Transport,Department for Transport,18/03/2011,Transport Consultancy,Regional & Local Transport,STEER DAVIES & GLEAVE LTD,2000028303,"6,745.20"
Department for Transport,Department for Transport,18/03/2011,IT Consultancy,Regional & Local Transport,THALES INFORMATION SYSTEM LTD,2000028304,"7,578.83"
Department for Transport,Department for Transport,18/03/2011,Research,Accident Investigating Branches,TRANSPORT RESEARCH LABORATORY,2000028305,"8,268.00"
Department for Transport,Department for Transport,18/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000028305,"7,732.09"
Department for Transport,Department for Transport,18/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000028305,"3,972.93"
Department for Transport,Department for Transport,18/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000028305,"5,675.00"
Department for Transport,Department for Transport,18/03/2011,Mobile Phone charges,Corporate Support Function,VODAFONE LTD,2000028308,"4,724.45"
Department for Transport,Department for Transport,18/03/2011,Mobile Phone charges,Regional & Local Transport,VODAFONE LTD,2000028308,"2,440.33"
Department for Transport,Department for Transport,18/03/2011,Books,Legal Services Directorate ,WILDY AND SONS LTD,2000028309,"20,377.50"
Department for Transport,Department for Transport,18/03/2011,Research,Transport Analysis and Economics,AEA TECHNOLOGY - ENVIRONMENT,2000028310,"4,912.00"
Department for Transport,Department for Transport,18/03/2011,Secondments,Regional & Local Transport,SHROPSHIRE COUNCIL,2000028311,"5,143.70"
Department for Transport,Department for Transport,18/03/2011,Services provided by OGDs,Transform Licensing Logistics and Sponsorship,DEPARTMENT FOR WORK & PENSIONS,2000028312,"70,493.65"
Department for Transport,Department for Transport,18/03/2011,Training,Transport Security,NATIONAL SCHOOL OF GOVERNMENT,2000028314,"1,350.00"
Department for Transport,Department for Transport,18/03/2011,Services provided by OGDs,Road & Vehicle Safety & Standards,VEHICLE & OPERATOR SERVICES AGENCY,2000028315,"40,165.08"
Department for Transport,Department for Transport,21/03/2011,Management Consultancy,Projects,PRICE WATERHOUSE COOPERS LLP,2000004219,"15,000.00"
Department for Transport,Department for Transport,21/03/2011,Management Consultancy,Projects,PRICE WATERHOUSE COOPERS LLP,2000004219,"7,945.60"
Department for Transport,Department for Transport,21/03/2011,Transport Consultancy,Rail Technical & Professional,STEER DAVIES & GLEAVE LTD,2000004220,"11,293.60"
