"#","Page","Popularity","Impressions","Sessions","Re-Visits"
"1999","parents > en > schoolslearninganddevelopment/choosingaschool/ dg_4016309 appeal against a school place decision : directgov - parents",0.00,367,319,0.14
"2000","motoring > en > personalisedregandnumberplates/ dg_172124 buying a personalised registration from a dealer or in a private sale : directgov - motoring",0.00,367,318,0.14
"2001","education and learning > en > adultlearning/learningoutsidetheclassroom/ dg_10033341 choosing where to learn : directgov - education and learning",0.00,367,315,0.15
"2002","education and learning > en > universityandhighereducation/studenthousing/ dg_064417 renting private student accommodation : directgov - education and learning",0.00,367,295,0.20
"2003","disabled people > en > travelholidaysandbreaks/planningatrip/ dg_4017245 the european health insurance card : directgov - disabled people",0.00,366,348,0.06
"2004","crime justice and the law > en > goingtocourt/ dg_070444 going to court as a witness : directgov - crime and justice",0.00,365,332,0.10
"2005","money tax and benefits > en > taxes/taxonbenefitspensionsandmaintenance/  tax on benefits pensions and maintenance : directgov - money, tax and benefits",0.00,364,283,0.23
"2006","money tax and benefits > en > taxes/beginnersguidetotax/inheritancetaxestatesandtrusts/afteradeathmanaginganestate/ dg_179353 inheritance tax and the probate process : directgov - money, tax and benefits",0.00,364,255,0.31
"2007","employment > en > jobseekers/jobsandcareers/ dg_10033053 volunteering while looking for work : directgov - employment",0.00,364,310,0.16
"2008","environment and greener living > en > smallholders/  smallholders: keeping farm animals and bees : directgov - environment and greener living",0.00,364,251,0.32
"2009","pensions and retirement planning > en > companyandpersonalpensions/companypensions/ dg_10028150 making additional voluntary contributions (avcs) to your company pension : directgov - pensions and retirement planning",0.00,363,299,0.18
"2010","newsroom > en > other   employment news : directgov - newsroom",0.00,363,310,0.15
"2011","motoring > en > driverlicensing/caravanstrailerscommercialvehicles/ dg_10013085 towing a trailer with a passenger carrying vehicle : directgov - motoring",0.00,363,315,0.14
"2012","employment > en > employees/pay/ dg_175997 calculating your pay: more complex calculations : directgov - employment",0.00,362,300,0.18
"2013","employment > en > tradeunions/tradeunionmembership/  trade union membership : directgov - employment",0.00,362,273,0.25
"2014","caring for someone > en > moneymatters/ dg_10012547 carer's allowance - how to claim : directgov - caring for someone",0.00,362,336,0.08
"2015","parents > en > yourchildshealthandsafety/worriedabout/ dg_10015927 talking to your child about sex and teenage pregnancy : directgov - parents",0.00,362,325,0.11
"2016","money tax and benefits > en > managingdebt/debtrepaymentoptions/ dg_183575 debt management plans - ways out of debt : directgov - money, tax and benefits",0.00,362,329,0.10
"2017","newsroom > en > other  dg_191607 government organisation charts - data files : directgov - newsroom",0.00,361,194,0.47
"2018","money tax and benefits > en > taxes/beginnersguidetotax/incometax/introductiontoincometax/ dg_078790 should you be paying income tax? : directgov - money, tax and benefits",0.00,361,289,0.21
"2019","directories > en >  dg_10012722 carers uk : directgov - directories",0.00,361,331,0.09
"2020","disabled people > en > educationandtraining/schools/  support at school : directgov - disabled people",0.00,360,274,0.25
"2021","pensions and retirement planning > en > companyandpersonalpensions/companypensions/ dg_10026629 what happens to your company pension when you die : directgov - pensions and retirement planning",0.00,360,313,0.14
"2022","newsroom > en > other  dg_192167 cold weather payments : directgov - newsroom",0.00,360,319,0.12
"2023","directories > en >  dg_10011246 dvla local office - portsmouth : directgov - directories",0.00,359,313,0.14
"2024","do it online > en > doitonlinebycategory/ dg_067277 find your local citizens advice bureau : directgov - do it online",0.00,359,325,0.10
"2025","home and community > en > inyourhome/supportathome/ dg_10030601 getting help with drug or alcohol problems and getting clinical waste collected : directgov - home and community",0.00,359,328,0.10
"2026","directories > en >  dg_10012040 insolvency service : directgov - directories",0.00,359,331,0.09
"2027","disabled people > en > healthandsupport/mentalhealth/ dg_10023345 mental health care professionals : directgov - disabled people",0.00,358,307,0.15
"2028","motoring > en > driversafety/  driver safety : directgov - motoring",0.00,358,281,0.22
"2029","environment and greener living > en > wasteandrecycling/ dg_069060 electrical equipment: reuse and disposal : directgov - environment and greener living",0.00,357,327,0.09
"2030","do it online > en >  dg_4018851 government, citizens and rights : directgov - do it online",0.00,357,289,0.20
"2031","environment and greener living > en > thewiderenvironment/climatechange/ dg_072901 a brief history of climate change : directgov - environment and greener living",0.00,357,275,0.24
"2032","disabled people > en > financialsupport/attendanceallowance/ dg_10023094 attendance allowance medical examination - what it involves : directgov - disabled people",0.00,356,305,0.15
"2033","young people > en > crimeandjustice/typesofcrime/ dg_10027673 anti-social behaviour : directgov - young people",0.00,356,315,0.12
"2034","money tax and benefits > en > taxes/workingandpayingtax/ dg_185198 employed and self-employed tax and national insurance : directgov - money, tax and benefits",0.00,355,287,0.20
"2035","directories > en >  dg_10011674 london borough of bexley council : directgov - directories",0.00,355,294,0.18
"2036","parents > en > familyissuesandthelaw/ dg_10029776 relationship breakdown: family mediation : directgov - parents",0.00,354,311,0.13
"2037","directories > en >  dg_10011765 fife council : directgov - directories",0.00,354,296,0.17
"2038","pensions and retirement planning > en > benefits/benefitsinretirement/ dg_10027105 veterans' benefits and pensions : directgov - pensions and retirement planning",0.00,353,289,0.19
"2039","pensions and retirement planning > en > benefits/concessionsandotherhelp/  concessions and other help : directgov - pensions and retirement planning",0.00,353,239,0.33
"2040","directories > en >  dg_10011763 edinburgh city council : directgov - directories",0.00,353,319,0.11
"2041","environment and greener living > en > wasteandrecycling/ dg_180525 recycling batteries : directgov - environment and greener living",0.00,353,306,0.14
"2042","parents > en > yourchildshealthandsafety/roadandtravelsafety/ dg_10037077 child car seats : directgov - parents",0.00,353,313,0.12
"2043","directories > en >  dg_10011249 dvla local office - sheffield : directgov - directories",0.00,352,311,0.13
"2044","home and community > en > yourlocalcouncilandcounciltax/yourcommunity/ dg_4001648 how your local council works : directgov - home and community",0.00,352,319,0.10
"2045","directories > en >  dg_10010998 health and safety executive (hse) : directgov - directories",0.00,352,320,0.10
"2046","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/paymentsandentitlement/entitlement/ dg_073944 checking your tax credits award notice : directgov - money, tax and benefits",0.00,351,309,0.13
"2047","newsroom > en > other  dg_191780 housing - spending review : directgov - newsroom",0.00,351,297,0.16
"2048","newsroom > en > other  dg_188740 telling government someone has died : directgov - newsroom",0.00,350,289,0.18
"2049","crime justice and the law > en > crimeprevention/ dg_181651 neighbourhood watch : directgov - crime and justice",0.00,350,304,0.14
"2050","disabled people > en > motoringandtransport/yourvehicleandlicence/ dg_10028001 adapting your vehicle : directgov - disabled people",0.00,350,306,0.13
"2051","home and community > en > gettinginvolvedinyourcommunity/charitiesandcommunitygroups/  charities and community groups : directgov - home and community",0.00,350,258,0.27
"2052","environment and greener living > en > thewiderenvironment/climatechange/ dg_072885 climate change: a quick guide : directgov - environment and greener living",0.00,349,266,0.25
"2053","parents > en > havingababy/healthinpregnancy/ dg_171517 travelling while pregnant : directgov - parents",0.00,349,329,0.07
"2054","directories > en >  dg_10011238 dvla local office - maidstone : directgov - directories",0.00,349,300,0.15
"2055","parents > en > yourchildshealthandsafety/roadandtravelsafety/ dg_4003049 road safety for children under seven : directgov - parents",0.00,348,323,0.08
"2056","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_10012527 the cost of vehicle tax for buses and larger vehicles : directgov - motoring",0.00,348,314,0.11
"2057","disabled people > en > homeandhousingoptions/yourhome/ dg_4016448 independence at home : directgov - disabled people",0.00,348,253,0.28
"2058","directories > en >  dg_175867 durham county council : directgov - directories",0.00,348,296,0.16
"2059","home and community > en > gettinginvolvedinyourcommunity/charitiesandcommunitygroups/ dg_066664 becoming a trustee : directgov - home and community",0.00,346,296,0.15
"2060","education and learning > en > universityandhighereducation/whygotouniversityorcollege/ dg_073320 what is higher education really like? : directgov - education and learning",0.00,346,305,0.13
"2061","parents > en > childcare/ dg_172212 extended schools and services : directgov - parents",0.00,346,301,0.14
"2062","employment > en > resolvingworkplacedisputes/grievanceprocedures/ dg_175998 appealing your workplace grievance decision : directgov - employment",0.00,346,295,0.16
"2063","motoring > en > driversafety/ dg_178867 national speed limits for vans : directgov - motoring",0.00,346,289,0.17
"2064","money tax and benefits > en > managingmoney/mortgages/ dg_10014982 what is a mortgage? : directgov - money, tax and benefits",0.00,346,325,0.07
"2065","environment and greener living > en > energyandwatersaving/ dg_064371 top tips on saving energy : directgov - environment and greener living",0.00,345,309,0.11
